UniProt Acc,Gene Name,Protein Name
Q9BWS9,CHID1,Chitinase domain-containing protein 1
Q05586,GRIN1,"Glutamate receptor ionotropic, NMDA 1"
Q9HCK4,ROBO2,Roundabout homolog 2
P13497,BMP1,Bone morphogenetic protein 1
O00482,NR5A2,Nuclear receptor subfamily 5 group A member 2
Q96PE2,ARHGEF17,Rho guanine nucleotide exchange factor 17
Q9H019,MTFR1L,Mitochondrial fission regulator 1-like
Q6ZN28,MACC1,Metastasis-associated in colon cancer protein 1
Q8WVE7,TMEM170A,Transmembrane protein 170A
Q8IYX0,ZNF679,Zinc finger protein 679
Q9Y421,FAM32A,Protein FAM32A
Q00994,BEX3,Protein BEX3
O95447,LCA5L,Lebercilin-like protein
P09681,GIP,Gastric inhibitory polypeptide
Q8TC20,CAGE1,Cancer-associated gene 1 protein
P10696,ALPG,"Alkaline phosphatase, germ cell type"
Q9BW19,KIFC1,Kinesin-like protein KIFC1
Q8TB52,FBXO30,F-box only protein 30
Q9NQV8,PRDM8,PR domain zinc finger protein 8
Q9NQ33,ASCL3,Achaete-scute homolog 3
A6XGL0,YJEFN3,YjeF N-terminal domain-containing protein 3
O95522,PRAMEF12,PRAME family member 12
Q8NF64,ZMIZ2,Zinc finger MIZ domain-containing protein 2
P80217,IFI35,Interferon-induced 35 kDa protein
Q9UK96,FBXO10,F-box only protein 10
Q9UBC9,SPRR3,Small proline-rich protein 3
P0CI25,TRIM49,Tripartite motif-containing protein 49
P01037,CST1,Cystatin-SN
Q6P4I2,WDR73,WD repeat-containing protein 73
O95741,CPNE6,Copine-6
Q6ZRY4,RBPMS2,RNA-binding protein with multiple splicing 2
Q8WV15,TMEM255B,Transmembrane protein 255B
Q96RG2,PASK,PAS domain-containing serine/threonine-protein kinase
P48764,SLC9A3,Sodium/hydrogen exchanger 3
P52961,ART1,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1
Q8N6K0,TEX29,Testis-expressed protein 29
P30408,TM4SF1,Transmembrane 4 L6 family member 1
P39880,CUX1,Homeobox protein cut-like 1
Q96RY7,IFT140,Intraflagellar transport protein 140 homolog
Q8IV33,KIAA0825,Uncharacterized protein KIAA0825
Q5HY92,FIGN,Fidgetin
Q8NBJ4,GOLM1,Golgi membrane protein 1
Q8NEC5,CATSPER1,Cation channel sperm-associated protein 1
Q5VU97,CACHD1,VWFA and cache domain-containing protein 1
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1
Q14582,MXD4,Max dimerization protein 4
P17535,JUND,Transcription factor JunD
Q14449,GRB14,Growth factor receptor-bound protein 14
Q15596,NCOA2,Nuclear receptor coactivator 2
P10827,THRA,Thyroid hormone receptor alpha
P17544,ATF7,Cyclic AMP-dependent transcription factor ATF-7
Q9Y6Q6,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A
Q9NPC6,MYOZ2,Myozenin-2
Q14722,KCNAB1,Voltage-gated potassium channel subunit beta-1
P10826,RARB,Retinoic acid receptor beta
O00329,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
Q9GZX5,ZNF350,Zinc finger protein 350
Q99583,MNT,Max-binding protein MNT
Q9BX63,BRIP1,Fanconi anemia group J protein
Q96S15,WDR24,GATOR2 complex protein WDR24
Q9UIB8,CD84,SLAM family member 5
Q8IW19,APLF,Aprataxin and PNK-like factor
O94811,TPPP,Tubulin polymerization-promoting protein
Q9H9Q4,NHEJ1,Non-homologous end-joining factor 1
P19429,TNNI3,"Troponin I, cardiac muscle"
Q9Y6H5,SNCAIP,Synphilin-1
Q5MJ70,SPDYA,Speedy protein A
Q13156,RPA4,Replication protein A 30 kDa subunit
P12272,PTHLH,Parathyroid hormone-related protein
Q9NSE2,CISH,Cytokine-inducible SH2-containing protein
O00244,ATOX1,Copper transport protein ATOX1
O14807,MRAS,Ras-related protein M-Ras
P29375,KDM5A,Lysine-specific demethylase 5A
Q9HAV5,EDA2R,Tumor necrosis factor receptor superfamily member 27
P10589,NR2F1,COUP transcription factor 1
Q9UKA8,RCAN3,Calcipressin-3
Q7Z569,BRAP,BRCA1-associated protein
Q9Y6K1,DNMT3A,DNA (cytosine-5)-methyltransferase 3A
Q8TBK2,SETD6,N-lysine methyltransferase SETD6
Q96RI1,NR1H4,Bile acid receptor
Q96KS0,EGLN2,Prolyl hydroxylase EGLN2
Q8IZJ4,RGL4,Ral-GDS-related protein
Q9NSB8,HOMER2,Homer protein homolog 2
O15194,CTDSPL,CTD small phosphatase-like protein
Q6PJQ5,FOXR2,Forkhead box protein R2
Q8IWI9,MGA,MAX gene-associated protein
Q86UT5,NHERF4,Na(+)/H(+) exchange regulatory cofactor NHE-RF4
Q6ICG8,WBP2NL,Postacrosomal sheath WW domain-binding protein
Q9H2F5,EPC1,Enhancer of polycomb homolog 1
Q13325,IFIT5,Interferon-induced protein with tetratricopeptide repeats 5
Q9H9A7,RMI1,RecQ-mediated genome instability protein 1
Q9BUP3,HTATIP2,Oxidoreductase HTATIP2
Q6PIV2,FOXR1,Forkhead box protein R1
Q6ZYL4,GTF2H5,General transcription factor IIH subunit 5
P09086,POU2F2,"POU domain, class 2, transcription factor 2"
Q9BU64,CENPO,Centromere protein O
Q9HAW4,CLSPN,Claspin
P81274,GPSM2,G-protein-signaling modulator 2
O75444,MAF,Transcription factor Maf
Q86XR7,TICAM2,TIR domain-containing adapter molecule 2
P45379,TNNT2,"Troponin T, cardiac muscle"
O15049,N4BP3,NEDD4-binding protein 3
O95067,CCNB2,G2/mitotic-specific cyclin-B2
Q9Y3R0,GRIP1,Glutamate receptor-interacting protein 1
Q8WWZ3,EDARADD,Ectodysplasin-A receptor-associated adapter protein
Q01851,POU4F1,"POU domain, class 4, transcription factor 1"
Q16563,SYPL1,Synaptophysin-like protein 1
Q9BV81,EMC6,ER membrane protein complex subunit 6
Q92903,CDS1,Phosphatidate cytidylyltransferase 1
Q5T3U5,ABCC10,ATP-binding cassette sub-family C member 10
P27701,CD82,CD82 antigen
Q8TAX0,OSR1,Protein odd-skipped-related 1
Q9BT88,SYT11,Synaptotagmin-11
Q92902,HPS1,BLOC-3 complex member HPS1
Q9NPP4,NLRC4,NLR family CARD domain-containing protein 4
Q969U7,PSMG2,Proteasome assembly chaperone 2
O75293,GADD45B,Growth arrest and DNA damage-inducible protein GADD45 beta
Q9UKA4,AKAP11,A-kinase anchor protein 11
O95154,AKR7A3,Aflatoxin B1 aldehyde reductase member 3
Q8NB15,ZNF511,Zinc finger protein 511
Q96C11,FGGY,FGGY carbohydrate kinase domain-containing protein
O43448,KCNAB3,Voltage-gated potassium channel subunit beta-3
Q1L5Z9,LONRF2,LON peptidase N-terminal domain and RING finger protein 2
Q9NPJ4,PNRC2,Proline-rich nuclear receptor coactivator 2
Q86UA6,RPAIN,RPA-interacting protein
Q6ZWI9,RFPL4B,Ret finger protein-like 4B
Q9C091,GREB1L,GREB1-like protein
Q9BZE7,C22orf23,UPF0193 protein EVG1
P58304,VSX2,Visual system homeobox 2
Q6ZUS5,CCDC121,Coiled-coil domain-containing protein 121
O15534,PER1,Period circadian protein homolog 1
Q9H765,ASB8,Ankyrin repeat and SOCS box protein 8
Q8N6D5,ANKRD29,Ankyrin repeat domain-containing protein 29
Q99666,RGPD6,RANBP2-like and GRIP domain-containing protein 5/6
Q9BYJ4,TRIM34,E3 ubiquitin-protein ligase TRIM34
Q96HA7,TONSL,Tonsoku-like protein
Q8WXA8,HTR3C,5-hydroxytryptamine receptor 3C
Q53G59,KLHL12,Kelch-like protein 12
Q9NVS9,PNPO,Pyridoxine-5'-phosphate oxidase
Q96C55,ZNF524,Zinc finger protein 524
Q6UWR7,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6
Q52LR7,EPC2,Enhancer of polycomb homolog 2
Q9BQE9,BCL7B,B-cell CLL/lymphoma 7 protein family member B
Q9UIW0,VAX2,Ventral anterior homeobox 2
Q5TF58,IFFO2,Intermediate filament family orphan 2
Q00872,MYBPC1,"Myosin-binding protein C, slow-type"
Q9BRR0,ZKSCAN3,Zinc finger protein with KRAB and SCAN domains 3
Q96L46,CAPNS2,Calpain small subunit 2
Q8N4C7,STX19,Syntaxin-19
P07902,GALT,Galactose-1-phosphate uridylyltransferase
O75140,DEPDC5,GATOR1 complex protein DEPDC5
Q6UX41,BTNL8,Butyrophilin-like protein 8
Q9BWL3,C1orf43,Protein C1orf43
Q9UGP5,POLL,DNA polymerase lambda
Q9UQ07,MOK,MAPK/MAK/MRK overlapping kinase
Q8IY47,KBTBD2,Kelch repeat and BTB domain-containing protein 2
Q9NPF7,IL23A,Interleukin-23 subunit alpha
A6NMK7,CPSF4L,Putative cleavage and polyadenylation specificity factor subunit 4-like protein
Q8TDD5,MCOLN3,Mucolipin-3
Q8NHM5,KDM2B,Lysine-specific demethylase 2B
Q8IVB5,LIX1L,LIX1-like protein
Q9GZU1,MCOLN1,Mucolipin-1
P52179,MYOM1,Myomesin-1
Q8N8L6,ARL10,ADP-ribosylation factor-like protein 10
Q96N95,ZNF396,Zinc finger protein 396
Q6HA08,ASTL,Astacin-like metalloendopeptidase
O43736,ITM2A,Integral membrane protein 2A
Q6ISB3,GRHL2,Grainyhead-like protein 2 homolog
Q96LZ3,PPP3R2,Calcineurin subunit B type 2
Q8NCN4,RNF169,E3 ubiquitin-protein ligase RNF169
A6NMX2,EIF4E1B,Eukaryotic translation initiation factor 4E type 1B
Q96HE9,PRR11,Proline-rich protein 11
P41247,PNPLA4,Patatin-like phospholipase domain-containing protein 4
Q96KN2,CNDP1,Beta-Ala-His dipeptidase
O94929,ABLIM3,Actin-binding LIM protein 3
Q9P2D1,CHD7,Chromodomain-helicase-DNA-binding protein 7
Q86VY9,TMEM200A,Transmembrane protein 200A
Q9H6A9,PCNX3,Pecanex-like protein 3
Q8TD26,CHD6,Chromodomain-helicase-DNA-binding protein 6
Q6ZMY9,ZNF517,Zinc finger protein 517
O75110,ATP9A,Probable phospholipid-transporting ATPase IIA
Q9ULV3,CIZ1,Cip1-interacting zinc finger protein
P01178,OXT,Oxytocin-neurophysin 1
Q6PP77,XKRX,XK-related protein 2
P09093,CELA3A,Chymotrypsin-like elastase family member 3A
P55290,CDH13,Cadherin-13
Q69YH5,CDCA2,Cell division cycle-associated protein 2
Q8TF39,ZNF483,Zinc finger protein 483
Q8NC69,KCTD6,BTB/POZ domain-containing protein KCTD6
A0MZ66,SHTN1,Shootin-1
Q86V15,CASZ1,Zinc finger protein castor homolog 1
Q5T7N3,KANK4,KN motif and ankyrin repeat domain-containing protein 4
Q6IPR3,TYW3,tRNA wybutosine-synthesizing protein 3 homolog
O14924,RGS12,Regulator of G-protein signaling 12
Q9H5V7,IKZF5,Zinc finger protein Pegasus
Q13231,CHIT1,Chitotriosidase-1
Q9Y2P4,SLC27A6,Long-chain fatty acid transport protein 6
Q9ULW8,PADI3,Protein-arginine deiminase type-3
Q9Y2B9,PKIG,cAMP-dependent protein kinase inhibitor gamma
Q6NT52,CGB2,Choriogonadotropin subunit beta variant 2
Q9BX73,TM2D2,TM2 domain-containing protein 2
Q8IUD6,RNF135,E3 ubiquitin-protein ligase RNF135
Q9UNY5,ZNF232,Zinc finger protein 232
P07205,PGK2,Phosphoglycerate kinase 2
O60636,TSPAN2,Tetraspanin-2
Q96JS3,PGBD1,PiggyBac transposable element-derived protein 1
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1
Q9BSE2,TMEM79,Transmembrane protein 79
Q9H939,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2
Q9NSU2,TREX1,Three-prime repair exonuclease 1
Q15034,HERC3,Probable E3 ubiquitin-protein ligase HERC3
P55160,NCKAP1L,Nck-associated protein 1-like
O75324,SNN,Stannin
P16422,EPCAM,Epithelial cell adhesion molecule
Q9HCI5,MAGEE1,Melanoma-associated antigen E1
O94762,RECQL5,ATP-dependent DNA helicase Q5
O75808,CAPN15,Calpain-15
Q01524,DEFA6,Defensin-6
Q9Y5H8,PCDHA3,Protocadherin alpha-3
Q96F46,IL17RA,Interleukin-17 receptor A
Q8IVA1,PCP2,Purkinje cell protein 2 homolog
Q6AHZ1,ZNF518A,Zinc finger protein 518A
Q9H169,STMN4,Stathmin-4
O60671,RAD1,Cell cycle checkpoint protein RAD1
Q9Y3V2,RWDD3,RWD domain-containing protein 3
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H
Q96LC7,SIGLEC10,Sialic acid-binding Ig-like lectin 10
Q07108,CD69,Early activation antigen CD69
Q8NFZ8,CADM4,Cell adhesion molecule 4
Q13454,TUSC3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3
P26842,CD27,CD27 antigen
A6NDB9,PALM3,Paralemmin-3
Q8N6G5,CSGALNACT2,Chondroitin sulfate N-acetylgalactosaminyltransferase 2
Q9BYT8,NLN,"Neurolysin, mitochondrial"
Q969J2,ZKSCAN4,Zinc finger protein with KRAB and SCAN domains 4
Q15771,RAB30,Ras-related protein Rab-30
Q8WXG1,RSAD2,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2
Q86YN6,PPARGC1B,Peroxisome proliferator-activated receptor gamma coactivator 1-beta
O43490,PROM1,Prominin-1
O14709,ZNF197,Zinc finger protein 197
Q5U651,RASIP1,Ras-interacting protein 1
P61371,ISL1,Insulin gene enhancer protein ISL-1
Q9P0L9,PKD2L1,Polycystin-2-like protein 1
Q8TD23,ZNF675,Zinc finger protein 675
Q5THR3,EFCAB6,EF-hand calcium-binding domain-containing protein 6
Q9H211,CDT1,DNA replication factor Cdt1
Q03989,ARID5A,AT-rich interactive domain-containing protein 5A
O95070,YIF1A,Protein YIF1A
Q9Y6G5,COMMD10,COMM domain-containing protein 10
Q86UV5,USP48,Ubiquitin carboxyl-terminal hydrolase 48
Q8NHW5,RPLP0P6,Putative ribosomal protein uL10-like
P51787,KCNQ1,Potassium voltage-gated channel subfamily KQT member 1
P58005,SESN3,Sestrin-3
Q86SG2,ANKRD23,Ankyrin repeat domain-containing protein 23
Q16821,PPP1R3A,Protein phosphatase 1 regulatory subunit 3A
P0CG39,POTEJ,POTE ankyrin domain family member J
Q96LW4,PRIMPOL,DNA-directed primase/polymerase protein
Q6P9F0,CCDC62,Coiled-coil domain-containing protein 62
Q9Y5W3,KLF2,Krueppel-like factor 2
Q96F10,SAT2,Thialysine N-epsilon-acetyltransferase
P28067,HLA-DMA,"HLA class II histocompatibility antigen, DM alpha chain"
O43307,ARHGEF9,Rho guanine nucleotide exchange factor 9
Q9UPQ0,LIMCH1,LIM and calponin homology domains-containing protein 1
Q8N895,ZNF366,Zinc finger protein 366
Q16270,IGFBP7,Insulin-like growth factor-binding protein 7
P49913,CAMP,Cathelicidin antimicrobial peptide
Q7LBE3,SLC26A9,Solute carrier family 26 member 9
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2
Q9Y2N7,HIF3A,Hypoxia-inducible factor 3-alpha
P26441,CNTF,Ciliary neurotrophic factor
Q96JH8,RADIL,Ras-associating and dilute domain-containing protein
Q7Z443,PKD1L3,Polycystin-1-like protein 3
O95340,PAPSS2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2
O75912,DGKI,Diacylglycerol kinase iota
Q92839,HAS1,Hyaluronan synthase 1
P58317,ZNF121,Zinc finger protein 121
O95267,RASGRP1,RAS guanyl-releasing protein 1
Q92784,DPF3,Zinc finger protein DPF3
Q8NBF1,GLIS1,Zinc finger protein GLIS1
Q9Y6C7,LINC00312,Putative uncharacterized protein encoded by LINC00312
P23193,TCEA1,Transcription elongation factor A protein 1
Q9GZX7,AICDA,Single-stranded DNA cytosine deaminase
O15514,POLR2D,DNA-directed RNA polymerase II subunit RPB4
Q02535,ID3,DNA-binding protein inhibitor ID-3
P28069,POU1F1,Pituitary-specific positive transcription factor 1
O75618,DEDD,Death effector domain-containing protein
Q9UBC0,ONECUT1,Hepatocyte nuclear factor 6
Q14896,MYBPC3,"Myosin-binding protein C, cardiac-type"
Q16520,BATF,Basic leucine zipper transcriptional factor ATF-like
Q96Q04,LMTK3,Serine/threonine-protein kinase LMTK3
P13631,RARG,Retinoic acid receptor gamma
Q9Y6J0,CABIN1,Calcineurin-binding protein cabin-1
Q9Y5X4,NR2E3,Photoreceptor-specific nuclear receptor
Q17R98,ZNF827,Zinc finger protein 827
Q9Y5N6,ORC6,Origin recognition complex subunit 6
P41225,SOX3,Transcription factor SOX-3
Q00978,IRF9,Interferon regulatory factor 9
Q8IUI8,CRLF3,Cytokine receptor-like factor 3
Q96DC7,TMCO6,Transmembrane and coiled-coil domain-containing protein 6
Q96NZ9,PRAP1,Proline-rich acidic protein 1
Q569H4,PRR16,Protein Largen
O14613,CDC42EP2,Cdc42 effector protein 2
P41271,NBL1,Neuroblastoma suppressor of tumorigenicity 1
Q71RG4,TMUB2,Transmembrane and ubiquitin-like domain-containing protein 2
Q9BSW7,SYT17,Synaptotagmin-17
O75830,SERPINI2,Serpin I2
O60844,ZG16,Zymogen granule membrane protein 16
Q9BYP7,WNK3,Serine/threonine-protein kinase WNK3
Q96GX8,C16orf74,Uncharacterized protein C16orf74
Q13946,PDE7A,"High affinity 3',5'-cyclic-AMP phosphodiesterase 7A"
Q5TA31,RNF187,E3 ubiquitin-protein ligase RNF187
Q7Z5J4,RAI1,Retinoic acid-induced protein 1
Q7Z589,EMSY,BRCA2-interacting transcriptional repressor EMSY
P62952,BLCAP,Apoptosis inducing factor BLCAP
P10124,SRGN,Serglycin
Q6PGQ7,BORA,Protein aurora borealis
Q9NTM9,CUTC,Copper homeostasis protein cutC homolog
P40424,PBX1,Pre-B-cell leukemia transcription factor 1
Q02446,SP4,Transcription factor Sp4
Q9H609,ZNF576,Zinc finger protein 576
Q01955,COL4A3,Collagen alpha-3(IV) chain
Q8NFD5,ARID1B,AT-rich interactive domain-containing protein 1B
Q8IV45,UNC5CL,UNC5C-like protein
Q8WZ59,TMEM190,Transmembrane protein 190
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2
Q99626,CDX2,Homeobox protein CDX-2
O76036,NCR1,Natural cytotoxicity triggering receptor 1
Q13901,C1D,Nuclear nucleic acid-binding protein C1D
Q9UGU0,TCF20,Transcription factor 20
P03886,MT-ND1,NADH-ubiquinone oxidoreductase chain 1
O43761,SYNGR3,Synaptogyrin-3
Q8IYJ2,C10orf67,"Uncharacterized protein C10orf67, mitochondrial"
P51843,NR0B1,Nuclear receptor subfamily 0 group B member 1
P02585,TNNC2,"Troponin C, skeletal muscle"
Q9NP55,BPIFA1,BPI fold-containing family A member 1
P13521,SCG2,Secretogranin-2
Q9HD15,SRA1,Steroid receptor RNA activator 1
Q9NRY6,PLSCR3,Phospholipid scramblase 3
Q8WYJ6,SEPTIN1,Septin-1
P23975,SLC6A2,Sodium-dependent noradrenaline transporter
Q8IYX7,SAXO1,Stabilizer of axonemal microtubules 1
Q9NXR8,ING3,Inhibitor of growth protein 3
Q96HI0,SENP5,Sentrin-specific protease 5
Q8IWE4,DCUN1D3,DCN1-like protein 3
Q9UGV2,NDRG3,Protein NDRG3
P04280,PRB1,Basic salivary proline-rich protein 1
Q05BQ5,MBTD1,MBT domain-containing protein 1
Q8N6M8,IQCF1,IQ domain-containing protein F1
Q8IZU9,KIRREL3,Kin of IRRE-like protein 3
Q7Z5L9,IRF2BP2,Interferon regulatory factor 2-binding protein 2
Q6MZP7,LIN54,Protein lin-54 homolog
Q92736,RYR2,Ryanodine receptor 2
O95239,KIF4A,Chromosome-associated kinesin KIF4A
Q96MX3,ZNF48,Zinc finger protein 48
Q9Y2F5,ICE1,Little elongation complex subunit 1
Q6NZY7,CDC42EP5,Cdc42 effector protein 5
Q8WWM9,CYGB,Cytoglobin
P52756,RBM5,RNA-binding protein 5
Q99879,H2BC14,Histone H2B type 1-M
Q8N264,ARHGAP24,Rho GTPase-activating protein 24
O60756,BCE1,Putative protein BCE-1
Q9NQW1,SEC31B,Protein transport protein Sec31B
P0C7P0,CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial"
Q96KK5,H2AC12,Histone H2A type 1-H
O95399,UTS2,Urotensin-2
Q96JY6,PDLIM2,PDZ and LIM domain protein 2
Q9H6Y7,RNF167,E3 ubiquitin-protein ligase RNF167
Q9NV79,PCMTD2,Protein-L-isoaspartate O-methyltransferase domain-containing protein 2
O94876,TMCC1,Transmembrane and coiled-coil domains protein 1
A5YM69,ARHGEF35,Rho guanine nucleotide exchange factor 35
Q7LFX5,CHST15,Carbohydrate sulfotransferase 15
Q9UBU6,FAM8A1,Protein FAM8A1
P78334,GABRE,Gamma-aminobutyric acid receptor subunit epsilon
Q8TDW7,FAT3,Protocadherin Fat 3
Q96DG6,CMBL,Carboxymethylenebutenolidase homolog
Q9NSA2,KCND1,A-type voltage-gated potassium channel KCND1
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
Q9UJC5,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2
Q96QE3,ATAD5,ATPase family AAA domain-containing protein 5
Q9Y2D9,ZNF652,Zinc finger protein 652
Q9Y6W3,CAPN7,Calpain-7
Q9Y244,POMP,Proteasome maturation protein
Q53TQ3,INO80D,INO80 complex subunit D
Q96K37,SLC35E1,Solute carrier family 35 member E1
Q8NEZ3,WDR19,WD repeat-containing protein 19
P13498,CYBA,Cytochrome b-245 light chain
Q9NX05,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2
Q8TF76,HASPIN,Serine/threonine-protein kinase haspin
O43566,RGS14,Regulator of G-protein signaling 14
Q8N2Q7,NLGN1,Neuroligin-1
Q6ZN18,AEBP2,Zinc finger protein AEBP2
Q6P1A2,LPCAT3,Lysophospholipid acyltransferase 5
Q04671,OCA2,P protein
Q8IZ73,RPUSD2,Pseudouridylate synthase RPUSD2
Q5XKL5,BTBD8,BTB/POZ domain-containing protein 8
Q0D2K3,RIPPLY1,Protein ripply1
Q96F85,CNRIP1,CB1 cannabinoid receptor-interacting protein 1
Q9NXX6,NSMCE4A,Non-structural maintenance of chromosomes element 4 homolog A
P06731,CEACAM5,Cell adhesion molecule CEACAM5
O43688,PLPP2,Phospholipid phosphatase 2
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3
Q9UNS1,TIMELESS,Protein timeless homolog
O75154,RAB11FIP3,Rab11 family-interacting protein 3
Q8WTQ1,DEFB104B,Beta-defensin 104
Q6ULP2,AFTPH,Aftiphilin
Q008S8,ECT2L,Epithelial cell-transforming sequence 2 oncogene-like
O95807,TMEM50A,Transmembrane protein 50A
O95049,TJP3,Tight junction protein ZO-3
Q9NP77,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72
Q96K17,BTF3L4,Transcription factor BTF3 homolog 4
Q8TEY5,CREB3L4,Cyclic AMP-responsive element-binding protein 3-like protein 4
Q9UN67,PCDHB10,Protocadherin beta-10
Q9BR39,JPH2,Junctophilin-2
Q8TDG4,HELQ,Helicase POLQ-like
Q9Y284,WDR83OS,PAT complex subunit Asterix
Q9NZI7,UBP1,Upstream-binding protein 1
Q01638,IL1RL1,Interleukin-1 receptor-like 1
Q9UKT4,FBXO5,F-box only protein 5
P11086,PNMT,Phenylethanolamine N-methyltransferase
Q8NFU5,IPMK,Inositol polyphosphate multikinase
Q6H8Q1,ABLIM2,Actin-binding LIM protein 2
Q6ZU65,UBN2,Ubinuclein-2
Q9Y592,CEP83,Centrosomal protein of 83 kDa
Q99719,SEPTIN5,Septin-5
Q9P0W2,HMG20B,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related
Q96RD6,PANX2,Pannexin-2
Q8N0Z8,PUSL1,tRNA pseudouridine synthase-like 1
Q9UBW7,ZMYM2,Zinc finger MYM-type protein 2
Q6UX72,B3GNT9,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"
Q9NRG0,CHRAC1,Chromatin accessibility complex protein 1
Q9H2H0,CXXC4,CXXC-type zinc finger protein 4
Q8TBP6,SLC25A40,Mitochondrial glutathione transporter SLC25A40
Q9Y6X9,MORC2,ATPase MORC2
Q9HC24,TMBIM4,Protein lifeguard 4
Q8NG11,TSPAN14,Tetraspanin-14
Q9H649,NSUN3,"tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial"
Q8NDF8,TENT4B,Terminal nucleotidyltransferase 4B
Q9BQ87,TBL1Y,F-box-like/WD repeat-containing protein TBL1Y
Q9UQR0,SCML2,Sex comb on midleg-like protein 2
Q96FK6,WDR89,WD repeat-containing protein 89
Q9H116,GZF1,GDNF-inducible zinc finger protein 1
Q9Y256,RCE1,CAAX prenyl protease 2
P27707,DCK,Deoxycytidine kinase
Q12894,IFRD2,Interferon-related developmental regulator 2
Q9P1Y6,PHRF1,PHD and RING finger domain-containing protein 1
Q7LFL8,CXXC5,CXXC-type zinc finger protein 5
Q9UL03,INTS6,Integrator complex subunit 6
O95243,MBD4,Methyl-CpG-binding domain protein 4
Q15652,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C
O75907,DGAT1,Diacylglycerol O-acyltransferase 1
Q7Z444,ERAS,GTPase ERas
Q9Y6K5,OAS3,2'-5'-oligoadenylate synthase 3
Q9H3M9,ATXN3L,Ataxin-3-like protein
Q9UFW8,CGGBP1,CGG triplet repeat-binding protein 1
Q9NZN1,IL1RAPL1,Interleukin-1 receptor accessory protein-like 1
Q9H6P5,TASP1,Threonine aspartase 1
Q6P161,MRPL54,Large ribosomal subunit protein mL54
Q92643,PIGK,GPI-anchor transamidase
Q8IV32,CCDC71,Coiled-coil domain-containing protein 71
Q13326,SGCG,Gamma-sarcoglycan
Q9H920,RNF121,E3 ubiquitin ligase RNF121
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Q9BSV6,TSEN34,tRNA-splicing endonuclease subunit Sen34
Q9NZG7,NINJ2,Ninjurin-2
P48048,KCNJ1,ATP-sensitive inward rectifier potassium channel 1
Q9BXI6,TBC1D10A,TBC1 domain family member 10A
Q9H3V2,MS4A5,Membrane-spanning 4-domains subfamily A member 5
Q68DK7,MSL1,Male-specific lethal 1 homolog
Q4VC05,BCL7A,B-cell CLL/lymphoma 7 protein family member A
Q16878,CDO1,Cysteine dioxygenase type 1
Q8N2K1,UBE2J2,Ubiquitin-conjugating enzyme E2 J2
Q99622,C12orf57,Protein C10
Q8TE57,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16
O95825,CRYZL1,Quinone oxidoreductase-like protein 1
Q9H568,ACTL8,Actin-like protein 8
Q9P0S2,COX16,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial"
P38435,GGCX,Vitamin K-dependent gamma-carboxylase
Q9NV88,INTS9,Integrator complex subunit 9
O95302,FKBP9,Peptidyl-prolyl cis-trans isomerase FKBP9
Q75QN2,INTS8,Integrator complex subunit 8
P56470,LGALS4,Galectin-4
Q9Y4C0,NRXN3,Neurexin-3
P49441,INPP1,Inositol polyphosphate 1-phosphatase
Q9P0S3,ORMDL1,ORM1-like protein 1
P40145,ADCY8,Adenylate cyclase type 8
Q16651,PRSS8,Prostasin
Q9Y3C4,TPRKB,EKC/KEOPS complex subunit TPRKB
Q8TF65,GIPC2,PDZ domain-containing protein GIPC2
Q9BUG6,ZSCAN5A,Zinc finger and SCAN domain-containing protein 5A
O95620,DUS4L,tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like
Q8NA66,CNBD1,Cyclic nucleotide-binding domain-containing protein 1
Q13207,TBX2,T-box transcription factor TBX2
