Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	PubMed ID
Q99541	reviewed	PLIN2_HUMAN	Perilipin-2 (Adipophilin) (Adipose differentiation-related protein) (ADRP)	PLIN2 ADFP	Homo sapiens (Human)	437	9003395; 15489334; 21269460; 22223895; 22814378; 23186163; 24275569; 26357594; 34077757
Q99570	reviewed	PI3R4_HUMAN	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	PIK3R4 VPS15	Homo sapiens (Human)	1358	8999962; 15489334; 14617358; 18691976; 18669648; 19369195; 20643123; 19270696; 20068231; 21269460; 23186163; 23878393; 24785657; 25490155; 25255805; 16959974; 17344846
Q99623	reviewed	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)	299	9074930; 10359819; 10931946; 14702039; 16541075; 15489334; 11302691; 14654843; 15592455; 18691976; 19496786; 19640993; 19608861; 19906925; 21269460; 21328542; 20959514; 21746876; 22997079; 22814378; 24003225; 23186163; 24275569; 25904163; 25944712; 28017329; 32276428; 31522117
Q99689	reviewed	FEZ1_HUMAN	Fasciculation and elongation protein zeta-1 (Zygin I) (Zygin-1)	FEZ1	Homo sapiens (Human)	392	9096408; 15489334; 15466860; 16484223; 18439996; 20812761; 22354037; 24098481
Q99698	reviewed	LYST_HUMAN	Lysosomal-trafficking regulator (Beige homolog)	LYST CHS CHS1	Homo sapiens (Human)	3801	8896560; 8717042; 9215680; 16710414; 11984006; 14759258; 11857544; 18669648; 19369195; 23186163; 24275569; 25216107; 25425525; 26478006; 27881733; 20368792; 24521565; 31906877
Q99732	reviewed	LITAF_HUMAN	Lipopolysaccharide-induced tumor necrosis factor-alpha factor (LPS-induced TNF-alpha factor) (Small integral membrane protein of lysosome/late endosome) (p53-induced gene 7 protein)	LITAF PIG7 SIMPLE	Homo sapiens (Human)	161	9305847; 10200294; 11274176; 14702039; 17974005; 15616553; 15489334; 15064722; 16118794; 15793005; 16954198; 21896645; 23166352; 27927196; 27582497; 12525712; 15197774; 15786462; 15776429; 24604904
Q99942	reviewed	RNF5_HUMAN	E3 ubiquitin-protein ligase RNF5 (EC 2.3.2.27) (RING finger protein 5) (Ram1 homolog) (HsRma1)	RNF5 G16 NG2 RMA1	Homo sapiens (Human)	180	9533025; 11329381; 14702039; 14656967; 14574404; 15489334; 12861019; 16176924; 19413330; 19285439; 19269966; 22223895; 23093945; 22814378; 23186163; 24275569; 25489052
Q9BQ95	reviewed	ECSIT_HUMAN	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial (Protein SITPEC)	ECSIT	Homo sapiens (Human)	431	14702039; 15057824; 15489334; 17344420; 20816094; 21269460; 21525932; 22588174; 25944712; 25355951; 25228397; 31281713; 31620128; 32320651; 33753518
Q9BQS8	reviewed	FYCO1_HUMAN	FYVE and coiled-coil domain-containing protein 1 (Zinc finger FYVE domain-containing protein 7)	FYCO1 ZFYVE7	Homo sapiens (Human)	1478	11896456; 17974005; 16641997; 15489334; 14702039; 17525332; 19413330; 20100911; 21636066; 21269460; 22223895; 22814378; 23186163; 24089205; 24275569; 29914532
Q9BRR0	reviewed	ZKSC3_HUMAN	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	ZKSCAN3 ZFP47 ZNF306 ZNF309 ZSCAN13	Homo sapiens (Human)	538	14702039; 14574404; 15489334; 10520746; 18519692; 18940803; 21057542; 22531714; 23186163; 23434374; 28112733
Q9BRX2	reviewed	PELO_HUMAN	Protein pelota homolog (hPelota) (Protein Dom34 homolog)	PELO CGI-17	Homo sapiens (Human)	385	11060452; 10810093; 15372022; 15489334; 18088087; 18669648; 19690332; 20068231; 21269460; 21448132; 21406692; 23667253; 24275569; 27543824; 28112733; 29861391; 32006463; 27863242
Q9BSB4	reviewed	ATGA1_HUMAN	Autophagy-related protein 101	ATG101 C12orf44 PP894	Homo sapiens (Human)	218	14702039; 15498874; 16541075; 15489334; 19287211; 19597335; 21269460; 26236954; 26299944
Q9BSU1	reviewed	PHAF1_HUMAN	Phagosome assembly factor 1	PHAF1 C16orf6 C16orf70	Homo sapiens (Human)	422	14702039; 15489334; 22814378; 23186163; 33499712
Q9BT88	reviewed	SYT11_HUMAN	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	SYT11 KIAA0080	Homo sapiens (Human)	431	7584044; 14702039; 17974005; 16710414; 15489334; 12925569; 27278822
Q9BTA9	reviewed	WAC_HUMAN	WW domain-containing adapter protein with coiled-coil	WAC KIAA1844	Homo sapiens (Human)	647	14702039; 17974005; 15164054; 15489334; 11347906; 17081983; 16964243; 18669648; 19413330; 19690332; 19608861; 20068231; 21406692; 22354037; 23186163; 24275569; 25356899; 26264232; 26812014; 26757981; 16959974; 21329877; 23033978
Q9BTX3	reviewed	TM208_HUMAN	Transmembrane protein 208	TMEM208 HSPC171	Homo sapiens (Human)	173	11042152; 15489334; 22814378; 23691174; 25732826
Q9BUL5	reviewed	PHF23_HUMAN	PHD finger protein 23 (PDH-containing protein JUNE-1)	PHF23	Homo sapiens (Human)	403	17287853; 14702039; 16625196; 15489334; 18669648; 19690332; 21269460; 22814378; 23186163; 25484098; 24275569
Q9BV40	reviewed	VAMP8_HUMAN	Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB)	VAMP8	Homo sapiens (Human)	100	9614193; 15815621; 15489334; 12130530; 19413330; 21269460; 23217709; 23186163; 25648148; 25944712; 31806350; 33422265; 31694946; 30061757; 25686604
Q9BVC4	reviewed	LST8_HUMAN	Target of rapamycin complex subunit LST8 (TORC subunit LST8) (G protein beta subunit-like) (Gable) (Protein GbetaL) (Mammalian lethal with SEC13 protein 8) (mLST8)	MLST8 GBL LST8	Homo sapiens (Human)	326	14702039; 15616553; 15489334; 12408816; 12718876; 15268862; 15467718; 15854902; 17461779; 17510057; 18691976; 19369195; 20068231; 23186163; 24403073; 29750193; 30232230; 34741373; 35561222; 23636326; 27909983; 26678875; 29236692; 31601764; 34519268; 34519269; 36697823
Q9BVN2	reviewed	RUSC1_HUMAN	AP-4 complex accessory subunit RUSC1 (New molecule containing SH3 at the carboxy-terminus) (Nesca) (RUN and SH3 domain-containing protein 1)	RUSC1 NESCA	Homo sapiens (Human)	902	10760598; 14702039; 16303743; 17974005; 16710414; 15489334; 15024033; 19365808; 30262884
Q9BX95	reviewed	SGPP1_HUMAN	Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1) (Sphingosine-1-phosphate phosphohydrolase 1) (SPP-1)	SGPP1 SPP1	Homo sapiens (Human)	441	12815058; 14702039; 12508121; 15489334; 11756451; 17081983; 16782891; 18583713; 18220336; 18691976; 18669648; 19369195; 20068231; 20798685; 21406692; 23186163; 24275569
Q9BXM7	reviewed	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	PINK1	Homo sapiens (Human)	581	11494141; 14607334; 14702039; 16710414; 15489334; 16672980; 18957282; 18443288; 18687899; 19229105; 20798600; 20547144; 20404107; 19966284; 22043288; 22354088; 22910362; 22396657; 23754282; 23933751; 23620051; 24660806; 24898855; 24751536; 24784582; 24896179; 25474007; 24652937; 25527291; 30733118; 31536960; 32047033; 32484300; 29123128; 15349860; 15349870; 15596610; 15505171; 15087508; 16207217; 15970950; 16207731; 15955953; 16009891; 16969854; 16966503; 17030667; 16401616; 16632486; 16482571; 16257123; 17344846; 18330912; 18286320; 18785233; 22956510
Q9BXS4	reviewed	TMM59_HUMAN	Transmembrane protein 59 (Liver membrane-bound protein)	TMEM59 C1orf8 HSPC001 UNQ169/PRO195	Homo sapiens (Human)	323	11042152; 12975309; 16303743; 16710414; 15489334; 20427278; 23376921; 27273576
Q9BXW4	reviewed	MLP3C_HUMAN	Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma)	MAP1LC3C	Homo sapiens (Human)	147	12740394; 16710414; 15489334; 15187094; 20818167; 20529957; 20562859; 22354992; 22470510; 23112293; 23459205; 25127057; 26347139; 26451915; 28404643; 29420192; 30661429; 31722778; 31709703; 33783314; 34338405; 33909989; 23022382; 24290141
Q9BY43	reviewed	CHM4A_HUMAN	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	CHMP4A C14orf123 SHAX2 CDA04 HSPC134	Homo sapiens (Human)	222	12860994; 14583093; 11042152; 12508121; 15489334; 14505569; 14505570; 14519844; 14678797; 15632132; 17853893; 17547705; 18209100; 22660413; 24275569; 18511562
Q9BY84	reviewed	DUS16_HUMAN	Dual specificity protein phosphatase 16 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 7) (MAP kinase phosphatase 7) (MKP-7)	DUSP16 KIAA1700 MKP7	Homo sapiens (Human)	665	11489891; 14586399; 11214970; 16541075; 15489334; 12794087; 15888437; 18669648; 22547814
Q9BYF1	reviewed	ACE2_HUMAN	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805	10969042; 10924499; 15231706; 15937940; 33077916; 12975309; 15489334; 17974005; 15276642; 12459472; 12358520; 11815627; 14504186; 14647384; 15151696; 15141377; 15452268; 15084671; 15671045; 15791205; 15983030; 15897467; 16008552; 19021774; 18424768; 19159218; 19185582; 21563828; 21068237; 24227843; 27217402; 28293165; 32142651; 32075877; 32155444; 32413319; 32425701; 32170560; 33102950; 32333915; 32715618; 32221306; 32327758; 32358202; 33000221; 32753553; 33082294; 32404436; 33713620; 34189428; 33432067; 33432184; 33436497; 33436498; 36228039; 36876523; 36735681; 36757924; 14754895; 16166518; 19901337; 30102747; 30356097; 32225176; 32225175; 32132184; 33133145; 32558308
Q9BYJ4	reviewed	TRI34_HUMAN	E3 ubiquitin-protein ligase TRIM34 (EC 2.3.2.27) (Interferon-responsive finger protein 1) (RING finger protein 21)	TRIM34 IFP1 RNF21	Homo sapiens (Human)	488	11013086; 11331580; 14702039; 17974005; 17156811; 21680743; 31487507; 32282853; 31956709; 35065966
Q9BYM8	reviewed	HOIL1_HUMAN	RanBP-type and C3HC4-type zinc finger-containing protein 1 (EC 2.3.2.31) (HBV-associated factor 4) (Heme-oxidized IRP2 ubiquitin ligase 1) (HOIL-1) (Hepatitis B virus X-associated protein 4) (RING finger protein 54) (RING-type E3 ubiquitin transferase HOIL-1) (Ubiquitin-conjugating enzyme 7-interacting protein 3)	RBCK1 C20orf18 RNF54 UBCE7IP3 XAP3 XAP4	Homo sapiens (Human)	510	9195957; 12629548; 11780052; 15489334; 14759258; 15951569; 17006537; 17449468; 18711448; 20005846; 19136968; 21455173; 21455180; 21455181; 23104095; 22814378; 23798481; 23186163; 23708998; 27572974; 28481331; 35294289; 22430200; 22517668
Q9BYW2	reviewed	SETD2_HUMAN	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP)	SETD2 HIF1 HYPB KIAA1732 KMT3A SET2 HSPC069	Homo sapiens (Human)	2564	16641997; 14702039; 17974005; 11461154; 15489334; 16118227; 11214970; 12168954; 11042152; 9700202; 10958656; 17081983; 18585004; 19141475; 18220336; 18669648; 19413330; 19332550; 19690332; 20054297; 20068231; 21792193; 21526191; 21406692; 23160955; 23622243; 23186163; 23792563; 23325844; 24843002; 24275569; 24662245; 24509477; 26084711; 25755297; 25728682; 27518565; 27317772; 28753426; 28112733; 36537238; 16314571; 23043551; 27474439; 28256625; 24852293; 26637798; 32710489
Q9BZF2	reviewed	OSBL7_HUMAN	Oxysterol-binding protein-related protein 7 (ORP-7) (OSBP-related protein 7)	OSBPL7 ORP7	Homo sapiens (Human)	842	11483621; 14702039; 16625196; 15489334; 14593528; 23186163
Q9BZR9	reviewed	TRIM8_HUMAN	E3 ubiquitin-protein ligase TRIM8 (EC 2.3.2.27) (Glioblastoma-expressed RING finger protein) (RING finger protein 27) (RING-type E3 ubiquitin transferase TRIM8) (Tripartite motif-containing protein 8)	TRIM8 GERP RNF27	Homo sapiens (Human)	551	11118312; 11331580; 15164054; 15489334; 12163497; 20516148; 22084099; 23152791; 27981609; 28747347; 34871740; 30244534; 32193649; 28124119; 33508234
Q9BZV1	reviewed	UBXN6_HUMAN	UBX domain-containing protein 6 (UBX domain-containing protein 1)	UBXN6 UBXD1 UBXDC2	Homo sapiens (Human)	441	11342112; 15489334; 18656546; 18669648; 19174149; 19275885; 21269460; 21896481; 21822278; 22337587; 23335559; 23349634; 24275569; 26475856; 27753622
Q9C000	reviewed	NLRP1_HUMAN	NACHT, LRR and PYD domains-containing protein 1 (EC 3.4.-.-) (EC 3.6.4.-) (Caspase recruitment domain-containing protein 7) (Death effector filament-forming ced-4-like apoptosis protein) (Nucleotide-binding domain and caspase recruitment domain) [Cleaved into: NACHT, LRR and PYD domains-containing protein 1, C-terminus (NLRP1-CT); NACHT, LRR and PYD domains-containing protein 1, N-terminus (NLRP1-NT)]	NLRP1 CARD7 DEFCAP KIAA0926 NAC NALP1	Homo sapiens (Human)	1473	11270363; 11250163; 11076957; 11113115; 10231032; 16625196; 15489334; 17974005; 14702039; 22665479; 12191486; 15285719; 15212762; 17418785; 17431422; 17164409; 17349957; 18511561; 32558991; 19651869; 22087307; 22801494; 16439990; 24439873; 26347139; 25562666; 26086088; 30291141; 30096351; 31525884; 32051255; 33243852; 33852854; 33410748; 35594856; 33731929; 35618833; 35857590; 14527388; 33731932; 33420028; 33420033; 17377159; 23349227; 27662089; 27965258; 31484767; 33093214
Q9C030	reviewed	TRIM6_HUMAN	Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING finger protein 89) (RING-type E3 ubiquitin transferase TRIM6)	TRIM6 RNF89	Homo sapiens (Human)	488	11331580; 14702039; 16554811; 15489334; 11013086; 17156811; 21680743; 24882218; 27622505; 28679761; 31694946; 35263596; 35533195
Q9C035	reviewed	TRIM5_HUMAN	Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	TRIM5 RNF88	Homo sapiens (Human)	493	11331580; 15249690; 16401428; 18312418; 21632761; 14702039; 16554811; 15489334; 12878161; 16474118; 16809279; 16643975; 16956947; 17156811; 20053985; 20357094; 21247355; 21575904; 21680743; 21512569; 21512573; 21572451; 22078707; 21035162; 21866272; 22482711; 22291694; 22223895; 23186163; 25127057; 24275569; 21734049
Q9C0C7	reviewed	AMRA1_HUMAN	Activating molecule in BECN1-regulated autophagy protein 1 (DDB1- and CUL4-associated factor 3)	AMBRA1 DCAF3 KIAA1736	Homo sapiens (Human)	1298	17589504; 11214970; 14702039; 17974005; 16554811; 15489334; 16949367; 18691976; 18669648; 19690332; 20921139; 20068231; 21358617; 21753002; 22441670; 22814378; 23954414; 23186163; 23524951; 25499913; 24275569; 24587252; 25803737; 25215947; 25438055; 28059583; 30513302; 30166453; 30217973; 31123703; 32616651; 33854232; 33854235; 33854239; 32333458
Q9GZQ8	reviewed	MLP3B_HUMAN	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	MAP1LC3B MAP1ALC3	Homo sapiens (Human)	125	12932674; 14713272; 12740394; 14702039; 15489334; 15187094; 15355958; 15325588; 15095872; 17580304; 20818167; 20418806; 20529957; 20100911; 20562859; 21383079; 22948227; 22311637; 22354992; 22922758; 22470510; 23112293; 23721406; 23459205; 23209295; 24089205; 24668264; 25215947; 25684205; 26040720; 26451915; 28017329; 29458288; 29420192; 30143514; 30661429; 31315929; 30420355; 31006538; 31006537; 32315611; 33499712; 31722778; 31091447; 33783314; 34338405; 33909989; 15857831; 18524774; 24290141; 28668392; 28395732
Q9GZU1	reviewed	MCLN1_HUMAN	Mucolipin-1 (ML1) (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)	MCOLN1 ML4 TRPML1 MSTP080	Homo sapiens (Human)	580	11013137; 11030752; 10973263; 14702039; 15489334; 12459486; 15336987; 15178326; 14749347; 16257972; 16497227; 16978393; 17897319; 17988215; 18794901; 19864416; 19159218; 19885840; 21256127; 21224396; 22733759; 25130899; 25720963; 25733853; 27623384; 27787197; 27357649; 28112729; 29019983; 11317355; 12182165; 15523648; 16959974
Q9GZZ9	reviewed	UBA5_HUMAN	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5 UBE1DC1	Homo sapiens (Human)	404	15071506; 16328888; 11230166; 14702039; 16641997; 15489334; 17825256; 18442052; 18669648; 19690332; 20068231; 21269460; 23186163; 25219498; 29868776; 29295865; 32160526; 20368332; 27653677; 26929408; 28360427; 30990354; 30412706; 27545681; 26872069; 27545674
Q9H082	reviewed	RB33B_HUMAN	Ras-related protein Rab-33B	RAB33B	Homo sapiens (Human)	229	11230166; 14702039; 15815621; 15489334; 18448665; 20163571; 21269460; 21808068; 23091056; 22652534; 23042644
Q9H0A0	reviewed	NAT10_HUMAN	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025	11214970; 11230166; 14702039; 16554811; 15489334; 14592445; 12429849; 17631499; 18082603; 17180247; 18669648; 19303003; 19608861; 23186163; 25411247; 24786082; 25653167; 26882543; 27993683; 30449621; 30165671; 31722219; 35679869; 34516797; 21269460
Q9H0E2	reviewed	TOLIP_HUMAN	Toll-interacting protein	TOLLIP	Homo sapiens (Human)	274	10854325; 11230166; 14702039; 16554811; 15489334; 11751856; 14563850; 16412388; 15047686; 21269460; 22814378; 25042851; 25944712; 26320582; 31263572; 26282398
Q9H0F6	reviewed	SHRPN_HUMAN	Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1) (hSIPL1)	SHARPIN SIPL1 PSEC0216	Homo sapiens (Human)	387	12753155; 20179993; 11230166; 14702039; 16421571; 15489334; 18669648; 20068231; 21455173; 21455180; 21455181; 23186163; 22549881; 23708998; 28481331
Q9H0K1	reviewed	SIK2_HUMAN	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 KIAA0781 QIK SNF1LK2	Homo sapiens (Human)	926	14976552; 9872452; 12168954; 11230166; 14702039; 15489334; 15454081; 18669648; 19369195; 19690332; 21084751; 23322770; 24129571; 23186163; 24275569; 26983400; 30586628; 17344846
Q9H0R8	reviewed	GBRL1_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1)	GABARAPL1 GEC1	Homo sapiens (Human)	117	11374880; 11414770; 11230166; 14702039; 16541075; 15489334; 16431922; 17580304; 20404487; 20562859; 21269460; 22948227; 23043107; 22354992; 22470510; 23112293; 23690988; 25127057; 24668264; 26347139; 26355087; 25684205; 26929408; 29458288; 29420192; 30661429; 31006538; 31006537; 31722778; 32315611; 34338405; 33909989; 28287329
Q9H0U4	reviewed	RAB1B_HUMAN	Ras-related protein Rab-1B (EC 3.6.5.2)	RAB1B	Homo sapiens (Human)	201	11230166; 14702039; 15489334; 8836150; 9437002; 11389151; 15694364; 20545908; 21734656; 21822290; 22158903; 21680813; 22307087; 23188820; 26209634; 25944712; 32974215; 20064470; 20651120; 23236136; 27552051
Q9H0Y0	reviewed	ATG10_HUMAN	Ubiquitin-like-conjugating enzyme ATG10 (EC 2.3.2.-) (Autophagy-related protein 10) (APG10-like)	ATG10 APG10L PP12616	Homo sapiens (Human)	220	15498874; 14702039; 17974005; 15489334; 21367888; 22174682
Q9H1Y0	reviewed	ATG5_HUMAN	Autophagy protein 5 (APG5-like) (Apoptosis-specific protein)	ATG5 APG5L ASP	Homo sapiens (Human)	275	9563500; 17974005; 14574404; 15489334; 7796880; 9852036; 11096062; 11266458; 12207896; 11825910; 15778222; 15576571; 16963840; 17709747; 19124466; 19666601; 20580051; 21269460; 21575909; 22170153; 22342342; 22814378; 23202584; 24191030; 16959974; 26812546
Q9H267	reviewed	VP33B_HUMAN	Vacuolar protein sorting-associated protein 33B (hVPS33B)	VPS33B	Homo sapiens (Human)	617	10894945; 11250079; 14702039; 16572171; 15489334; 18474358; 19413330; 19109425; 20190753; 21269460; 21411634; 22753090; 23918659; 23901104; 15052268; 18853461; 28017832; 30561130; 31479177
Q9H269	reviewed	VPS16_HUMAN	Vacuolar protein sorting-associated protein 16 homolog (hVPS16)	VPS16	Homo sapiens (Human)	839	11250079; 14702039; 11780052; 17974005; 15489334; 11382755; 17897319; 18552835; 20434987; 21269460; 21802320; 23351085; 24275569; 24554770; 25266290; 25783203; 27174565; 32808683; 23901104
Q9H270	reviewed	VPS11_HUMAN	Vacuolar protein sorting-associated protein 11 homolog (hVPS11) (RING finger protein 108)	VPS11 RNF108 PP3476	Homo sapiens (Human)	941	11250079; 11382755; 15489334; 15498874; 14702039; 17897319; 20682791; 20434987; 21269460; 21802320; 21148287; 22223895; 23351085; 23186163; 23901104; 23593995; 24554770; 25266290; 25783203; 28325809; 26307567; 33452836
Q9H2X6	reviewed	HIPK2_HUMAN	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	HIPK2	Homo sapiens (Human)	1198	11267674; 12853948; 11032752; 11798164; 12220523; 11925430; 11740489; 12907596; 14678985; 12851404; 12874272; 14609633; 14647468; 16253240; 16601678; 17018294; 17960875; 18695000; 18093972; 18809579; 18536714; 19046997; 19369195; 19015637; 19448668; 19714248; 20637728; 20307497; 20980392; 20573984; 21145359; 21192925; 18974774; 19788416; 20234185; 20514025; 22825850; 24275569; 27211601; 28112733; 33591310; 17344846
Q9H444	reviewed	CHM4B_HUMAN	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)	CHMP4B C20orf178 SHAX1	Homo sapiens (Human)	224	12860994; 14583093; 11780052; 15489334; 14505569; 14505570; 14519844; 14678797; 15511219; 15007060; 16856878; 17146056; 17428861; 18190528; 18209100; 18434552; 19608861; 20068231; 21269460; 21543490; 21406692; 21310966; 22660413; 22814378; 22422861; 24275569; 26040712; 33349255; 18511562; 17701905
Q9H492	reviewed	MLP3A_HUMAN	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A) (MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)	MAP1LC3A	Homo sapiens (Human)	121	12740394; 17974005; 11780052; 15489334; 11096062; 11825910; 15187094; 17580304; 19056683; 20529957; 20713600; 22421968; 23043107; 22354992; 22470510; 23112293; 23459205; 24067654; 25127057; 26347139; 29420192; 30661429; 31006538; 31006537; 32686895; 31722778; 33783314; 34338405; 33909989; 34854256; 37252361; 24290141; 26040720
Q9H4A3	reviewed	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	WNK1 HSN2 KDP KIAA0344 PRKWNK1	Homo sapiens (Human)	2382	11571656; 22701532; 16541075; 10660600; 9205841; 12168954; 2507249; 14645531; 15489334; 15060842; 11498583; 15883153; 16263722; 15911806; 17081983; 16964243; 16832045; 17190791; 18521183; 18220336; 18669648; 19413330; 19739668; 19665974; 19690332; 20068231; 21269460; 21321328; 21220314; 21406692; 22989884; 23838290; 23387299; 23186163; 23576762; 24275569; 25362046; 25477473; 27911840; 29196535; 29581290; 31656913; 34289367; 33964204; 36318922; 36373794; 24803536; 27712055; 28771350; 16959974; 17344846
Q9H4B4	reviewed	PLK3_HUMAN	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	PLK3 CNK FNK PRK	Homo sapiens (Human)	646	11039900; 16710414; 15489334; 8702627; 11746980; 12242661; 9353331; 10557092; 11156373; 11447225; 11551930; 11971976; 14980500; 14968113; 15021912; 16478733; 16481012; 17804415; 17264206; 18062778; 18650425; 19490146; 19103756; 20889502; 20940307; 20951827; 20473878; 21098032; 21840391; 21376736; 21264284; 20671765
Q9H4P4	reviewed	RNF41_HUMAN	E3 ubiquitin-protein ligase NRDP1 (EC 2.3.2.27) (RING finger protein 41) (RING-type E3 ubiquitin transferase NRDP1)	RNF41 FLRF NRDP1 SBBI03	Homo sapiens (Human)	317	14702039; 16541075; 15489334; 12411582; 14765125; 15314180; 15632191; 17210635; 18541373; 19483718; 24949970; 17035239
Q9H6L5	reviewed	RETR1_HUMAN	Reticulophagy regulator 1 (Reticulophagy receptor 1)	RETREG1 FAM134B JK1	Homo sapiens (Human)	497	14702039; 15489334; 17974005; 17487424; 19838196; 26040720; 31930741; 34338405; 35239449; 32620754; 34854256; 22302274
Q9H6U6	reviewed	BCAS3_HUMAN	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1)	BCAS3	Homo sapiens (Human)	928	12378525; 14702039; 16625196; 15489334; 17974005; 16099728; 16617102; 17505058; 18030336; 18669648; 19690332; 21269460; 22300583; 22814378; 23186163; 24275569; 25114211; 28112733; 33499712; 34022130
Q9H714	reviewed	PACER_HUMAN	Protein associated with UVRAG as autophagy enhancer (Pacer) (Protein Rubicon-like)	RUBCNL C13orf18 KIAA0226L	Homo sapiens (Human)	662	14702039; 15057823; 15489334; 19369195; 23522960; 28306502; 30704899
Q9H7D7	reviewed	WDR26_HUMAN	WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2)	WDR26 CDW2 MIP2 PRO0852	Homo sapiens (Human)	661	16710414; 15489334; 15378603; 17041588; 14702039; 17081983; 18669648; 19446606; 20068231; 21269460; 22065575; 21406692; 23625927; 23186163; 24275569; 27098453; 26895380; 29911972; 28686853
