,Gene,Alphafold IDR Content,Length,Localization,HIPPIE Protein Counts
A0A1B0GX31,TRBV7-6,25.2,115,['Cell membrane'],0
A0A1B0GX49,TRBV6-4,23.7,114,['Cell membrane'],0
A0A1B0GX51,TRBV7-8,25.2,115,['Cell membrane'],0
A0A1B0GX56,TRDV1,26.1,115,['Cell membrane'],0
A0A1B0GX68,TRBV2,25.2,115,['Cell membrane'],3
A0A1B0GX78,TRBV12-5,23.5,115,['Cell membrane'],0
A0A1B0GX95,TRBV7-4,25.2,115,['Cell membrane'],0
A0A1B0GXF2,TRBV7-2,24.3,115,['Cell membrane'],0
A0A1W2PPD8,KDM4F,43.1,638,['Nucleus'],0
A0A1W2PPM1,CPHXL,84.9,405,['Nucleus'],0
A0A1W2PQ27,SSU72L1,0.0,194,['Nucleus'],0
A0A1W2PQ64,SSU72L5,0.0,194,['Nucleus'],0
A0A1W2PQC6,SSU72L4,0.0,194,['Nucleus'],0
A0A1W2PQD8,SSU72L2,0.0,194,['Nucleus'],0
A0A1W2PQJ5,SSU72L3,0.0,194,['Nucleus'],0
A0A1W2PR19,GSTT4,0.0,241,['Cytoplasm'],0
A0A1W2PR75,SSU72L6,0.0,194,['Nucleus'],0
A0A1W2PR82,PERCC1,86.1,267,None,0
A0A2R8Y619,H2BK1,43.4,122,"['Chromosome', 'Nucleus']",0
A0A2Z4LIS9,FOXO3B,86.6,290,"['Cytoplasm, cytosol']",0
A0A3B3IT33,TRIM51G,1.5,452,None,0
A0A3B3IU63,H2AL3,48.6,148,"['Nucleus', 'Chromosome']",0
A0A494C1R9,TSPY9,43.3,314,"['Cytoplasm', 'Nucleus']",0
A0A539,TRBV4-2,23.7,114,['Cell membrane'],0
A0A576,TRBV3-1,23.7,114,['Cell membrane'],0
A0A577,TRBV4-1,24.6,114,['Cell membrane'],0
A0A578,TRBV5-1,23.7,114,['Cell membrane'],0
A0A584,TRBV11-2,24.3,115,['Cell membrane'],0
A0A589,TRBV4-3,23.7,114,['Cell membrane'],0
A0A590UK83,SMIM45,97.2,68,"['Nucleus', 'Cytoplasm', 'Membrane; Single-pass membrane protein']",0
A0A597,TRBV5-5,23.7,114,['Cell membrane'],0
A0A599,TRBV5-6,23.7,114,['Cell membrane'],0
A0A5A2,TRBV5-8,23.7,114,['Cell membrane'],0
A0A5A6,TRBV11-3,24.3,115,['Cell membrane'],0
A0A5B0,TRBV14,25.2,115,['Cell membrane'],0
A0A5B6,TRBV28,23.7,114,['Cell membrane'],0
A0A5B7,TRBV29-1,21.6,111,['Cell membrane'],0
A0AUZ9,KANSL1L,91.2,987,None,3
A0AVI2,FER1L5,9.4,2057,"['Cell membrane', 'Membrane; Single-pass membrane protein']",3
A0JD32,TRAV38-2DV8,25.0,116,['Cell membrane'],0
A0JD36,TRDV2,23.5,115,['Cell membrane'],0
A0JD37,TRDV3,22.1,113,['Cell membrane'],0
A0PJE2,DHRS12,0.0,317,None,15
A0PJX4,SHISA3,72.7,238,['Endoplasmic reticulum membrane; Single-pass type I membrane protein'],31
A1A4F0,SLC66A1LP,48.9,135,None,0
A1A4V9,CFAP119,49.8,331,"['Cell projection, cilium, flagellum', 'Cytoplasmic vesicle, secretory vesicle, acrosome', 'Cytoplasm']",0
A1A580,KRTAP23-1,100.0,65,None,5
A1L168,C20orf202,74.6,99,None,7
A1L1A6,IGSF23,54.7,192,['Cell membrane; Single-pass membrane protein'],0
A1L3X4,MT1DP,18.4,49,None,3
A1L453,PRSS38,21.2,326,['Secreted'],1
A2A3N6,PIPSL,33.1,862,['Cytoplasm'],238
A2AJT9,BCLAF3,99.9,711,['Mitochondrion'],0
A2CJ06,DYTN,38.4,578,['Cell membrane'],1
A2NJV5,IGKV2-29,22.5,120,"['Secreted', 'Cell membrane']",0
A2RRH5,WDR27,13.4,827,None,7
A2RRL7,TMEM213,96.3,107,['Membrane; Single-pass type I membrane protein'],9
A2RTY3,HEATR9,40.0,570,None,0
A2RU48,SMCO3,0.0,225,['Membrane; Single-pass membrane protein'],0
A2RUR9,CCDC144A,68.9,1427,None,6
A2RUU4,CLPSL1,45.5,121,['Secreted'],6
A2VCK2,DCDC2B,49.6,349,None,18
A3KFT3,OR2M5,7.1,312,['Cell membrane; Multi-pass membrane protein'],0
A4D0V7,CPED1,15.6,1026,None,0
A4D1S0,KLRG2,68.2,409,['Membrane; Single-pass membrane protein'],96
A4D1U4,DENND11,20.9,455,None,0
A4D2H0,CTAGE15,65.8,777,['Membrane; Single-pass membrane protein'],0
A4D2P6,GRID2IP,47.0,1211,['Postsynaptic cell membrane'],5
A4QPH2,PI4KAP2,5.1,592,None,4
A5PL33,KRBA1,98.3,1030,None,37
A5PLK6,RGSL1,27.2,1076,['Membrane; Single-pass membrane protein'],3
A5PLN7,FAM149A,92.5,773,None,3
A6H8M9,CDHR4,16.9,788,['Membrane; Single-pass type I membrane protein'],0
A6NC42,DPPA5,19.0,116,['Cytoplasm'],1
A6NC78,GOLGA8IP,70.3,632,"['Golgi apparatus, Golgi stack membrane; Peripheral membrane protein']",0
A6NC86,PINLYP,8.3,204,['Secreted'],0
A6NCC3,GOLGA8O,75.2,632,None,0
A6NCI4,VWA3A,20.2,1184,['Secreted'],1
A6NCL1,GMNC,78.4,334,['Nucleus'],1
A6NCN2,KRT87P,41.6,255,None,0
A6NCV1,OR6C74,3.2,312,['Cell membrane; Multi-pass membrane protein'],0
A6NCW7,USP17L4,40.4,530,"['Nucleus', 'Endoplasmic reticulum']",0
A6NDD5,SYNDIG1L,94.1,238,"['Membrane; Multi-pass membrane protein', 'Golgi apparatus, cis-Golgi network']",0
A6NDH6,OR5H15,6.4,313,['Cell membrane; Multi-pass membrane protein'],0
A6NDI0,TRIM49B,0.0,452,None,0
A6NDL8,OR6C68,1.6,312,['Cell membrane; Multi-pass membrane protein'],0
A6NDN3,GOLGA6B,72.0,693,None,1
A6NDR6,MEIS3P1,73.4,274,['Nucleus'],2
A6NDX5,ZNF840P,19.7,716,['Nucleus'],1
A6NDY0,PABPN1L,68.3,278,['Cytoplasm'],0
A6NE52,WDR97,37.1,1622,None,4
A6NEC2,NPEPPSL1,10.5,478,None,0
A6NEL2,SOWAHB,72.3,793,None,1
A6NER0,TBC1D3F,41.5,549,['Cell membrane; Lipid-anchor'],5
A6NES4,MROH2A,3.0,1674,None,1
A6NET4,OR5K3,5.6,321,['Cell membrane; Multi-pass membrane protein'],0
A6NF34,ANTXRL,53.7,631,['Membrane; Single-pass type I membrane protein'],0
A6NF89,OR6C6,6.4,314,['Cell membrane; Multi-pass membrane protein'],0
A6NFC5,TMEM235,10.8,223,"['Membrane; Multi-pass membrane protein', 'Endoplasmic reticulum']",0
A6NFC9,OR2W5P,37.8,320,['Cell membrane; Multi-pass membrane protein'],0
A6NFI3,ZNF316,54.4,1004,['Nucleus'],35
A6NFQ7,DPRX,65.4,191,['Nucleus'],0
A6NFT4,CFAP73,28.6,308,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
A6NG13,MGAT4D,14.7,374,"['Golgi apparatus membrane; Single-pass type II membrane protein', 'Endoplasmic reticulum membrane; Single-pass type II membrane protein']",0
A6NGD5,ZSCAN5C,56.2,496,['Nucleus'],0
A6NGE7,URAD,0.0,173,['Peroxisome'],1
A6NGJ6,TRIM64,0.9,449,None,0
A6NH21,SERINC4,22.0,518,['Membrane; Multi-pass membrane protein'],0
A6NH52,TVP23A,23.0,213,['Membrane; Multi-pass membrane protein'],5
A6NH57,ARL5C,3.9,179,None,0
A6NHA9,OR4C46,2.9,309,['Cell membrane; Multi-pass membrane protein'],0
A6NHG9,OR5H14,3.5,310,['Cell membrane; Multi-pass membrane protein'],0
A6NHJ4,ZNF860,29.6,632,['Nucleus'],4
A6NHM9,MOXD2P,7.2,499,None,0
A6NHS7,MANSC4,67.6,340,['Membrane; Single-pass type I membrane protein'],0
A6NI03,TRIM64B,0.7,449,None,0
A6NI72,NCF1B,18.7,391,['Cytoplasm'],1
A6NIE9,PRSS29P,20.8,313,['Secreted'],0
A6NIJ9,OR6C70,3.5,312,['Cell membrane; Multi-pass membrane protein'],1
A6NIM6,SLC15A5,14.2,579,['Membrane; Multi-pass membrane protein'],1
A6NIR3,AGAP5,50.7,686,None,3
A6NIZ1,RAP1BL,7.1,184,"['Cell membrane', 'Cytoplasm, cytosol']",3
A6NJG6,ARGFX,81.0,315,['Nucleus'],0
A6NJL1,ZSCAN5B,47.3,495,['Nucleus'],5
A6NJV1,CIMIP2C,51.2,201,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
A6NJW4,LRRC3C,32.0,275,['Membrane; Single-pass membrane protein'],0
A6NJY4,TMEM238L,34.2,79,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],0
A6NJZ3,OR6C65,3.2,312,['Cell membrane; Multi-pass membrane protein'],0
A6NJZ7,RIMBP3C,57.5,1639,"['Cytoplasm, cytoskeleton']",14
A6NK02,TRIM75,8.5,468,"['Cytoplasm, cytoskeleton, spindle']",5
A6NK53,ZNF233,48.7,670,['Nucleus'],1
A6NK59,ASB14,8.7,587,None,49
A6NK75,ZNF98,21.9,572,['Nucleus'],0
A6NKD2,TSPY2,33.8,308,"['Cytoplasm', 'Nucleus']",10
A6NKD9,CCDC85C,68.5,419,"['Cell junction, tight junction', 'Cell junction, adherens junction']",102
A6NKG5,RTL1,44.4,1358,['Membrane; Multi-pass membrane protein'],4
A6NKK0,OR5H1,6.1,313,['Cell membrane; Multi-pass membrane protein'],6
A6NKQ9,CGB1,50.8,187,['Secreted'],3
A6NKT7,RGPD3,36.3,1758,None,30
A6NKX4,SLC22A31,12.6,556,['Membrane; Multi-pass membrane protein'],0
A6NL08,OR6C75,3.5,312,['Cell membrane; Multi-pass membrane protein'],1
A6NL26,OR5B21,1.9,309,['Cell membrane; Multi-pass membrane protein'],0
A6NL82,CFAP144,94.0,134,"['Cytoplasm, cytoskeleton, cilium axoneme']",0
A6NLP5,TTC36,9.5,189,None,1
A6NM03,OR2AG2,4.4,316,['Cell membrane; Multi-pass membrane protein'],0
A6NM11,LRRC37A2,78.1,1700,['Membrane; Single-pass type I membrane protein'],6
A6NM43,CCT8L1P,13.5,557,['Cytoplasm'],8
A6NM45,CLDN24,10.9,220,"['Cell junction, tight junction', 'Cell membrane; Multi-pass membrane protein']",0
A6NM76,OR6C76,2.6,312,['Cell membrane; Multi-pass membrane protein'],0
A6NMS3,OR5K4,7.5,321,['Cell membrane; Multi-pass membrane protein'],0
A6NMS7,LRRC37A,78.0,1700,['Membrane; Single-pass type I membrane protein'],1
A6NMT0,DBX1,84.0,343,['Nucleus'],1
A6NMU1,OR52A4P,2.6,304,['Cell membrane; Multi-pass membrane protein'],0
A6NMX2,EIF4E1B,25.2,242,None,2
A6NMZ2,SNTN,36.7,147,"['Cell projection, cilium']",0
A6NMZ5,OR4C45,1.6,306,['Cell membrane; Multi-pass membrane protein'],0
A6NN14,ZNF729,14.0,1252,['Nucleus'],0
A6NN92,GJE1,1.0,205,['Cell membrane; Multi-pass membrane protein'],0
A6NNF4,ZNF726,19.5,616,['Nucleus'],9
A6NNM3,RIMBP3B,58.3,1639,"['Cytoplasm, cytoskeleton']",0
A6NNP5,CCDC169,54.2,214,None,0
A6NP11,ZNF716,25.3,495,['Nucleus'],1
A6NP61,ZAR1L,66.7,321,"['Cytoplasm, Cytoplasmic ribonucleoprotein granule']",16
A6PVL3,KNCN,59.7,124,['Membrane; Multi-pass membrane protein'],0
A6PVS8,LRRIQ3,54.8,624,None,7
A6QL64,ANKRD36,67.6,1915,None,2
A7E2U8,CFAP96,100.0,309,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",0
A8K0R7,ZNF839,81.8,811,None,5
A8K0S8,MEIS3P2,63.1,358,['Nucleus'],0
A8K5M9,C15orf62,100.0,175,['Mitochondrion'],0
A8MPS7,YDJC,6.5,323,None,5
A8MPX8,PP2D1,28.7,630,None,0
A8MT70,ZBBX,92.0,800,None,25
A8MTI9,PRSS47P,30.4,375,['Secreted'],0
A8MTL9,HMSD,0.0,139,['Secreted'],0
A8MTY7,KRTAP9-7,100.0,169,None,0
A8MUH7,PDZK1P1,19.7,402,None,30
A8MUM7,LGALS16,0.0,142,None,0
A8MUV8,ZNF727,27.5,499,['Nucleus'],2
A8MV23,SERPINE3,13.4,424,['Secreted'],0
A8MVA2,KRTAP9-6,100.0,160,None,0
A8MVU1,NCF1C,23.0,366,['Cytoplasm'],3
A8MVW0,FAM171A2,61.0,826,['Membrane; Single-pass type I membrane protein'],73
A8MVZ5,BTNL10P,24.1,291,['Membrane; Single-pass type I membrane protein'],0
A8MWA4,ZNF705EP,13.7,300,['Nucleus'],0
A8MWD9,SNRPGP15,5.3,76,['Nucleus'],79
A8MWK0,FADS2B,12.2,482,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],0
A8MX76,CAPN14,3.7,684,None,0
A8MXE2,B3GALT9,7.9,369,['Golgi apparatus membrane; Single- pass type II membrane protein'],0
A8MXU0,DEFB108A,67.1,73,['Secreted'],0
A8MXY4,ZNF99,14.1,864,['Nucleus'],2
A8MXZ3,KRTAP9-1,100.0,250,None,0
A8MYV0,DCDC2C,47.0,364,"['Cell projection, cilium, flagellum', 'Cytoplasm']",0
A8MYZ6,FOXO6,82.9,492,"['Cytoplasm', 'Nucleus']",16
A8MZ26,EFCAB9,7.6,197,"['Cytoplasm', 'Cell projection, cilium, flagellum']",0
B1AJZ9,FHAD1,45.9,1412,None,6
B1AKI9,ISM1,55.0,464,['Secreted'],1
B1APH4,ZNF487,50.4,448,['Nucleus'],2
B2CW77,KLLN,100.0,178,['Nucleus'],1
B2RC85,RSPH10B2,31.1,870,"['Cytoplasm, cytoskeleton, cilium axoneme']",2
B2RN74,OR11H12,8.0,326,['Cell membrane; Multi-pass membrane protein'],0
B2RPK0,HMGB1P1,29.4,211,"['Nucleus', 'Chromosome']",35
B2RXH4,BTBD18,83.8,712,['Nucleus'],4
B3SHH9,TMEM114,4.0,223,['Cell membrane; Multi-pass membrane protein'],1
B4DH59,NBPF26,93.2,902,['Cytoplasm'],0
B4DU55,ZNF879,22.6,563,['Nucleus'],0
B4DYI2,SPATA31C2,97.0,1134,['Membrane; Single-pass membrane protein'],0
B5ME19,EIF3CL,28.8,914,['Cytoplasm'],171
B7ZAP0,RABGAP1L,41.5,253,None,0
B7ZC32,KIF28P,6.9,967,['Mitochondrion membrane; Peripheral membrane protein'],1
B9A064,IGLL5,51.4,214,['Secreted'],103
C9J069,AJM1,69.4,976,"['Apical cell membrane', 'Cell projection, cilium', 'Cell junction, adherens junction']",0
C9J1S8,TRIM49D1,2.4,452,None,0
C9J2P7,USP17L15,40.3,553,"['Nucleus', 'Endoplasmic reticulum']",0
C9J798,RASA4B,4.2,803,"['Cytoplasm, cytosol', 'Cell membrane; Peripheral membrane protein']",1
C9JCN9,HSBP1L1,45.9,74,None,10
C9JDP6,CLDN25,16.6,229,"['Cell junction, tight junction', 'Cell membrane; Multi-pass membrane protein']",0
C9JJH3,USP17L10,36.6,530,"['Nucleus', 'Endoplasmic reticulum']",0
C9JLJ4,USP17L13,37.4,530,"['Nucleus', 'Endoplasmic reticulum']",0
C9JLR9,ZFTA,58.3,678,None,0
C9JPN9,USP17L12,38.5,530,"['Nucleus', 'Endoplasmic reticulum']",0
C9JQI7,TMEM232,22.4,657,['Membrane; Multi-pass membrane protein'],1
C9JQL5,TMEM232,48.1,133,['Membrane; Multi-pass membrane protein'],0
C9JSJ3,MEIOSIN,78.7,638,['Nucleus'],0
C9JUS6,ADM5,91.5,153,['Secreted'],1
C9JVI0,USP17L11,38.9,530,"['Nucleus', 'Endoplasmic reticulum']",0
C9JXX5,FREY1,100.0,98,['Endoplasmic reticulum membrane; Single-pass type II membrane protein'],0
D6R901,USP17L21,38.5,530,"['Nucleus', 'Endoplasmic reticulum']",0
D6R9N7,USP17L18,38.5,530,"['Nucleus', 'Endoplasmic reticulum']",0
D6RA61,USP17L22,38.1,530,"['Nucleus', 'Endoplasmic reticulum']",0
D6RBQ6,USP17L17,37.7,530,"['Nucleus', 'Endoplasmic reticulum']",0
D6RCP7,USP17L19,38.5,530,"['Nucleus', 'Endoplasmic reticulum']",0
D6RIA3,C4orf54,98.7,1793,None,0
D6RJB6,USP17L20,38.9,530,"['Nucleus', 'Endoplasmic reticulum']",0
E2RYF6,MUC22,22.6,1773,['Membrane; Single-pass membrane protein'],0
E2RYF7,HCG22,39.0,251,['Secreted'],0
E7ETH6,ZNF587B,51.2,402,['Nucleus'],1
E9PB15,PTGES3L,66.9,166,None,0
E9PQ53,NDUFC2-KCTD14,29.8,114,['Mitochondrion inner membrane; Single-pass membrane protein; Matrix side'],0
F5H284,PPIAL4D,0.0,164,['Cytoplasm'],16
F7VJQ1,PRNP,100.0,73,['Mitochondrion outer membrane; Single-pass membrane protein'],451
F8VTS6,RFPL4AL1,5.2,287,None,0
G5E9R7,KRTAP4-16,100.0,235,None,0
H3BQB6,STMND1,96.4,276,None,0
H3BSY2,GOLGA8M,71.8,632,None,0
I3L273,GFY,99.2,518,['Golgi apparatus membrane; Single- pass type I membrane protein'],0
I3L3R5,CCER2,85.3,266,['Secreted'],0
L0R6Q1,SLC35A4,80.6,103,['Membrane; Single-pass membrane protein'],0
L0R819,ASDURF,24.0,96,['Cytoplasm'],0
O00110,OVOL3,50.0,190,['Nucleus'],0
O00398,P2RY10,10.6,339,['Cell membrane; Multi-pass membrane protein'],97
O00479,HMGN4,100.0,90,['Nucleus'],69
O00634,NTN3,10.0,580,"['Secreted, extracellular space, extracellular matrix']",4
O14498,ISLR,13.3,428,['Secreted'],131
O14562,UBFD1,34.0,309,None,37
O14581,OR7A17,3.9,309,['Cell membrane; Multi-pass membrane protein'],3
O14598,VCY,100.0,125,None,4
O14604,TMSB4Y,100.0,44,"['Cytoplasm, cytoskeleton']",34
O14715,RGPD8,36.1,1765,None,59
O14921,RGS13,0.0,159,None,8
O14990,PPP1R2C,93.6,202,None,0
O15037,KHNYN,38.5,678,None,13
O15255,RTL8C,100.0,209,['Cell membrane; Lipid-anchor'],45
O15442,MPPED1,13.8,326,None,35
O15480,MAGEB3,38.2,346,None,3
O15482,TEX28,67.3,410,['Membrane; Single-pass membrane protein'],29
O43246,SLC7A4,13.2,635,['Membrane; Multi-pass membrane protein'],1
O43325,LYRM1,0.0,122,['Nucleus'],17
O43361,ZNF749,41.4,778,['Nucleus'],3
O43423,ANP32CP,37.6,234,None,6
O43824,GTPBP6,15.1,516,None,61
O43869,OR2T1,14.4,369,['Cell membrane; Multi-pass membrane protein'],4
O60268,KIAA0513,34.8,411,['Cytoplasm'],6
O60287,URB1,7.2,2271,"['Nucleus, nucleolus']",112
O60290,ZNF862,34.6,1169,['Nucleus'],4
O60309,LRRC37A3,79.0,1634,['Membrane; Single-pass type I membrane protein'],2
O60320,ENTREP2,62.0,539,['Membrane; Multi-pass membrane protein'],0
O60347,TBC1D12,56.4,775,['Endosome'],9
O60397,COX7A2P2,79.2,106,['Mitochondrion inner membrane'],1
O60403,OR10H2,3.8,315,['Cell membrane; Multi-pass membrane protein'],67
O60404,OR10H3,4.7,316,['Cell membrane; Multi-pass membrane protein'],8
O60431,OR1I1,16.6,355,['Cell membrane; Multi-pass membrane protein'],0
O60518,RANBP6,1.0,1105,"['Cytoplasm', 'Nucleus']",98
O60637,TSPAN3,3.6,253,['Membrane; Multi-pass membrane protein'],94
O60732,MAGEC1,48.9,1142,None,14
O60739,EIF1B,17.7,113,None,174
O60809,PRAMEF10,10.5,474,None,3
O60810,PRAMEF4,8.2,478,None,2
O75290,ZNF780A,18.6,641,['Nucleus'],20
O75333,TBX10,48.6,385,['Nucleus'],0
O75373,ZNF737,16.8,536,['Nucleus'],2
O75426,FBXO24,15.2,580,None,9
O75467,ZNF324,45.4,553,['Nucleus'],42
O75474,FRAT2,94.0,233,None,24
O75526,RBMXL2,78.6,392,['Nucleus'],46
O75949,NALF2,60.8,472,['Membrane; Multi-pass membrane protein'],0
O75954,TSPAN9,0.0,239,['Membrane; Multi-pass membrane protein'],10
O76000,OR2B3,4.8,313,['Cell membrane; Multi-pass membrane protein'],0
O76087,GAGE7,100.0,117,None,0
O76100,OR7A10,3.9,309,['Cell membrane; Multi-pass membrane protein'],2
O94819,KBTBD11,25.5,623,None,3
O94952,FBXO21,6.1,628,None,52
O95006,OR2F2,6.0,317,['Cell membrane; Multi-pass membrane protein'],1
O95013,OR4F21,4.5,312,['Cell membrane; Multi-pass membrane protein'],1
O95081,AGFG2,73.0,481,None,11
O95156,NXPH2,48.1,264,['Secreted'],30
O95157,NXPH3,34.1,252,['Secreted'],56
O95158,NXPH4,61.4,308,['Secreted'],30
O95170,FBXW10B,28.2,752,None,0
O95221,OR5F1,5.4,314,['Cell membrane; Multi-pass membrane protein'],11
O95424,DEXI,72.6,95,None,7
O95478,NSA2,30.4,260,"['Nucleus, nucleolus']",171
O95502,NPTXR,51.8,500,['Membrane; Single-pass type II membrane protein'],20
O95521,PRAMEF1,10.5,474,None,0
O95522,PRAMEF12,3.7,483,None,4
O95744,PMS2P2,37.7,297,None,0
O95857,TSPAN13,3.9,204,['Membrane; Multi-pass membrane protein'],2
O95969,SCGB1D2,18.9,90,['Secreted'],17
O96001,PPP1R17,100.0,155,None,1
P01737,TRAV8-4,23.9,113,['Cell membrane'],0
P03986,TRGC2,34.9,189,['Cell membrane'],0
P09131,SLC10A3,14.5,477,['Membrane; Multi-pass membrane protein'],4
P0C025,NUDT17,9.1,328,None,0
P0C091,FREM3,4.1,2139,"['Secreted, extracellular space, extracellular matrix']",2
P0C0P6,NPS,100.0,89,['Secreted'],0
P0C5J1,FAM86B2,0.0,330,None,16
P0C5Y4,KRTAP1-4,95.0,121,None,0
P0C604,OR4A8,4.8,315,['Cell membrane; Multi-pass membrane protein'],0
P0C623,OR4Q2,3.6,314,['Cell membrane; Multi-pass membrane protein'],0
P0C626,OR5G3,6.4,314,['Cell membrane; Multi-pass membrane protein'],0
P0C628,OR5AC1,3.3,307,['Cell membrane; Multi-pass membrane protein'],0
P0C629,OR10J4,2.3,311,['Cell membrane; Multi-pass membrane protein'],0
P0C646,OR52Z1P,3.4,298,['Cell membrane; Multi-pass membrane protein'],0
P0C6A0,ZGLP1,70.1,273,['Nucleus'],0
P0C6S8,LINGO3,20.4,592,['Membrane; Single-pass type I membrane protein'],0
P0C7A2,FAM153B,89.1,387,None,24
P0C7H9,USP17L7,39.4,530,"['Nucleus', 'Endoplasmic reticulum']",5
P0C7I0,USP17L8,39.8,530,"['Nucleus', 'Endoplasmic reticulum']",0
P0C7I6,CCDC159,65.3,297,None,1
P0C7N1,OR8U8,5.0,319,['Cell membrane; Multi-pass membrane protein'],1
P0C7N5,OR8U9,1.6,309,['Cell membrane; Multi-pass membrane protein'],0
P0C7P4,UQCRFS1P1,43.5,283,['Membrane; Single-pass membrane protein'],29
P0C7Q2,ARMS2,100.0,107,['Cytoplasm'],15
P0C7Q6,SLC35G6,9.2,338,['Membrane; Multi-pass membrane protein'],0
P0C7T2,OR2T7,2.3,308,['Cell membrane; Multi-pass membrane protein'],0
P0C7T3,OR56A5,3.5,313,['Cell membrane; Multi-pass membrane protein'],0
P0C7T4,HMSD,100.0,53,None,0
P0C7U1,ASAH2B,15.8,165,None,0
P0C7V7,SEC11B,17.5,166,['Membrane; Single-pass type II membrane protein'],0
P0C851,PIRT,51.8,137,['Membrane; Multi-pass membrane protein'],0
P0C860,MSL3B,51.9,356,['Nucleus'],4
P0C881,RSPH10B,29.9,870,"['Cytoplasm, cytoskeleton, cilium axoneme']",1
P0CB33,ZNF735,35.4,412,['Nucleus'],1
P0CB38,PABPC4L,0.8,370,None,45
P0CF51,TRGC1,22.0,173,['Cell membrane'],0
P0CG00,ZSCAN5DP,57.5,497,['Nucleus'],0
P0CG01,GKN3P,13.8,181,['Secreted'],0
P0CG12,DERPC,100.0,524,['Nucleus'],0
P0CG22,DHRS4L1,9.3,281,None,2
P0CG31,ZNF286B,33.0,522,['Nucleus'],0
P0CG36,CFC1B,73.1,223,['Secreted'],0
P0CG40,SP9,81.0,484,['Nucleus'],0
P0CH99,ZNF705D,40.3,300,['Nucleus'],0
P0CI26,TRIM49C,0.4,452,None,1
P0CJ72,MTRNR2L5,100.0,24,"['Secreted', 'Cytoplasm']",0
P0CJ79,ZNF888,28.7,718,['Nucleus'],3
P0CK96,SLC35E2B,24.7,405,['Membrane; Multi-pass membrane protein'],0
P0CK97,SLC35E2A,69.9,266,['Membrane; Multi-pass membrane protein'],5
P0CL82,GAGE12I,100.0,117,None,0
P0CV98,TSPY3,34.1,308,"['Cytoplasm', 'Nucleus']",0
P0CV99,TSPY4,40.1,314,"['Cytoplasm', 'Nucleus']",0
P0CW00,TSPY8,33.4,308,"['Cytoplasm', 'Nucleus']",0
P0CW01,TSPY10,33.8,308,"['Cytoplasm', 'Nucleus']",2
P0CW20,LIMS4,59.0,117,None,0
P0DJD0,RGPD1,38.7,1748,None,51
P0DJD1,RGPD2,37.2,1756,None,5
P0DKB6,MPC1L,47.8,136,['Mitochondrion inner membrane; Multi-pass membrane protein'],0
P0DKV0,SPATA31C1,98.8,1188,['Membrane; Single-pass membrane protein'],0
P0DM35,MT1HL1,27.9,61,None,0
P0DMP2,SRGAP2B,23.4,458,None,0
P0DMU2,OR8G3P,1.6,310,['Cell membrane; Multi-pass membrane protein'],0
P0DMU9,CT45A10,59.8,189,None,0
P0DN26,PPIAL4F,0.0,164,['Cytoplasm'],0
P0DN37,PPIAL4G,0.0,164,['Cytoplasm'],0
P0DN80,OR5H8,3.6,308,['Cell membrane; Multi-pass membrane protein'],0
P0DN81,OR13C7,3.8,318,['Cell membrane; Multi-pass membrane protein'],0
P0DN82,OR12D1,4.5,320,['Cell membrane; Multi-pass membrane protein'],0
P0DP01,IGHV1-8,23.1,117,"['Secreted', 'Cell membrane']",0
P0DP02,IGHV3-30-3,23.1,117,"['Secreted', 'Cell membrane']",0
P0DP03,IGHV3-30-5,23.1,117,"['Secreted', 'Cell membrane']",0
P0DP04,IGHV3-43D,22.0,118,"['Secreted', 'Cell membrane']",0
P0DP06,IGHV4-30-4,22.9,118,"['Secreted', 'Cell membrane']",0
P0DP07,IGHV4-31,22.9,118,"['Secreted', 'Cell membrane']",0
P0DP08,IGHV4-38-2,23.1,117,"['Secreted', 'Cell membrane']",0
P0DP09,IGKV1-13,25.6,117,"['Secreted', 'Cell membrane']",0
P0DP72,VSIG10L2,14.7,767,['Membrane; Single-pass membrane protein'],0
P0DP73,DEFB130B,57.0,79,['Secreted'],0
P0DP74,DEFB130A,57.0,79,['Secreted'],0
P0DPA2,VSIG8,47.1,414,['Membrane; Single-pass type I membrane protein'],76
P0DPB5,POLR1D,92.6,122,None,0
P0DPF3,NBPF9,78.2,1111,['Cytoplasm'],0
P0DPF4,TRAV35,24.5,110,['Cell membrane'],0
P0DPF7,TRBV6-3,23.7,114,['Cell membrane'],0
P0DPI2,GATD3,14.2,268,['Mitochondrion'],0
P0DPQ6,DDIT3,100.0,34,"['Nucleus', 'Cytoplasm']",0
P0DQD5,NPY4R2,17.6,375,['Cell membrane; Multi-pass membrane protein'],0
P0DSN7,IGKV1D-37,25.6,117,"['Secreted', 'Cell membrane']",0
P0DSO2,SCYGR9,63.0,92,None,0
P0DTE1,IGHV3-38-3,23.5,115,"['Secreted', 'Cell membrane']",0
P0DTE2,IGHV8-51-1,21.7,115,"['Secreted', 'Cell membrane']",0
P0DTW1,GAGE1,100.0,117,None,8
P10075,GLI4,48.9,376,['Nucleus'],121
P11465,PSG2,16.1,335,['Secreted'],2
P11844,CRYGA,0.0,174,None,5
P12525,MYCLP1,81.0,358,['Nucleus'],0
