,Gene,Alphafold IDR Content,Length,Localization,MultiUniReD Protein Counts,HIPPIE Protein Counts
P21333,FLNA,4.0,2647,"['Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton', 'Perikaryon', 'Cell projection, growth cone']",110,459
P21583,KITLG,49.1,273,['[Soluble KIT ligand]: Secreted'],96,15
P22059,OSBP,27.9,807,"['Cytoplasm, cytosol', 'Cytoplasm, perinuclear region', 'Golgi apparatus membrane; Peripheral membrane protein', 'Endoplasmic reticulum membrane; Peripheral membrane protein', 'Golgi apparatus, trans-Golgi network']",48,74
P22626,HNRNPA2B1,48.4,353,"['Nucleus', 'Nucleus, nucleoplasm', 'Cytoplasm', 'Cytoplasmic granule', 'Secreted, extracellular exosome']",90,394
P23443,RPS6KB1,34.3,525,"['Synapse, synaptosome', 'Mitochondrion outer membrane', 'Mitochondrion']",129,77
P24385,CCND1,14.2,295,"['Nucleus', 'Cytoplasm', 'Nucleus membrane']",173,232
P24864,CCNE1,28.0,410,['Nucleus'],33,90
P24928,POLR2A,23.4,1970,"['Nucleus', 'Cytoplasm', 'Chromosome']",89,391
P25490,YY1,71.5,414,['Nucleus matrix'],150,393
P26599,PTBP1,24.3,557,['Nucleus'],13,271
P27708,CAD,4.7,2225,"['Cytoplasm', 'Nucleus']",5,309
P27986,PIK3R1,9.5,724,None,149,415
P28300,LOX,40.0,417,"['Secreted', 'Secreted, extracellular space']",109,48
P28324,ELK4,77.7,431,['Nucleus'],9,81
P28698,MZF1,41.1,734,['Nucleus'],50,29
P28827,PTPRM,11.4,1452,['Cell membrane; Single-pass type I membrane protein'],44,59
P29083,GTF2E1,41.0,439,['Nucleus'],9,76
P29274,ADORA2A,25.7,412,['Cell membrane; Multi-pass membrane protein'],94,30
P29375,KDM5A,28.5,1690,"['Nucleus, nucleolus', 'Nucleus']",7,46
P29536,LMOD1,71.7,600,"['Cytoplasm, myofibril, sarcomere', 'Cytoplasm, cytoskeleton']",37,5
P30260,CDC27,39.1,824,"['Nucleus', 'Cytoplasm, cytoskeleton, spindle']",59,191
P30281,CCND3,18.2,292,"['Nucleus', 'Cytoplasm']",60,75
P30307,CDC25C,60.0,473,['Nucleus'],74,131
P31321,PRKAR1B,17.3,381,['Cell membrane'],25,149
P31431,SDC4,92.9,198,None,61,70
P33763,S100A5,5.4,92,None,11,9
P35222,CTNNB1,23.3,781,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cytoskeleton', 'Cell junction, adherens junction', 'Cell junction', 'Cell membrane', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle pole', 'Synapse', 'Cytoplasm, cytoskeleton, cilium basal body']",235,838
P35236,PTPN7,19.2,360,"['Cytoplasm', 'Cytoplasm, cytoskeleton']",3,61
P35520,CBS,9.3,551,"['Cytoplasm', 'Nucleus']",66,103
P35568,IRS1,82.4,1242,None,152,95
P35637,FUS,78.5,526,['Nucleus'],41,578
P35916,FLT4,23.8,1363,"['Cell membrane; Single-pass type I membrane protein', 'Cytoplasm', 'Nucleus']",87,33
P36578,RPL4,27.2,427,['Cytoplasm'],22,579
P36894,BMPR1A,17.5,532,"['Cell membrane; Single-pass type I membrane protein', 'Cell surface']",32,183
P37173,TGFBR2,23.5,567,"['Cell membrane; Single-pass type I membrane protein', 'Membrane raft']",110,177
P38919,EIF4A3,6.6,411,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",51,427
P39748,FEN1,10.8,380,None,74,133
P39905,GDNF,55.5,211,['Secreted'],14,25
P40259,CD79B,44.1,229,['Cell membrane; Single-pass type I membrane protein'],22,105
P40855,PEX19,45.5,299,"['Cytoplasm', 'Peroxisome membrane; Lipid-anchor; Cytoplasmic side']",25,175
P41208,CETN2,15.7,172,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Nucleus envelope', 'Nucleus, nuclear pore complex', 'Nucleus']",42,84
P41236,PPP1R2,94.6,205,None,37,49
P41567,EIF1,27.4,113,['Cytoplasm'],31,21
P42224,STAT1,10.8,750,"['Cytoplasm', 'Nucleus']",177,258
P42226,STAT6,25.7,847,"['Cytoplasm', 'Nucleus']",104,72
P42568,MLLT3,63.6,568,"['Nucleus', 'Chromosome']",32,83
P42768,WAS,59.6,502,"['Cytoplasm, cytoskeleton', 'Nucleus']",36,86
P43403,ZAP70,7.4,619,"['Cytoplasm', 'Cell membrane; Peripheral membrane protein']",53,59
P43629,KIR3DL1,34.5,444,['Cell membrane; Single-pass type I membrane protein'],24,11
P45985,MAP2K4,22.6,399,"['Cytoplasm', 'Nucleus']",97,47
P46108,CRK,25.0,304,"['Cytoplasm', 'Cell membrane']",69,405
P46531,NOTCH1,24.7,2555,"['Cell membrane; Single-pass type I membrane protein', '[Notch 1 intracellular domain]: Nucleus']",203,311
P47710,CSN1S1,99.5,185,['Secreted'],4,28
P47813,EIF1AX,36.1,144,['Cytoplasm'],16,78
P48788,TNNI2,62.6,182,None,23,24
P49005,POLD2,9.8,469,['Nucleus'],30,52
P49427,CDC34,21.6,236,"['Cytoplasm', 'Nucleus']",45,282
P49736,MCM2,21.6,904,"['Nucleus', 'Chromosome']",85,927
P49757,NUMB,74.0,651,"['Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Endosome membrane; Peripheral membrane protein; Cytoplasmic side']",137,162
P49765,VEGFB,58.5,207,['Secreted'],47,29
P49790,NUP153,94.2,1475,"['Nucleus', 'Nucleus membrane', 'Nucleus, nuclear pore complex']",39,156
P49848,TAF6,52.4,677,['Nucleus'],21,104
P50402,EMD,81.9,254,"['Nucleus inner membrane; Single-pass membrane protein; Nucleoplasmic side', 'Nucleus outer membrane']",21,668
P50553,ASCL1,76.7,236,['Nucleus'],40,34
P50616,TOB1,65.5,345,"['Cytoplasm', 'Nucleus']",62,49
P50750,CDK9,12.6,372,"['Nucleus', 'Cytoplasm', 'Nucleus, PML body']",76,629
P51449,RORC,32.4,518,['Nucleus'],51,45
P51617,IRAK1,40.3,712,"['Cytoplasm', 'Nucleus', 'Lipid droplet']",98,183
P51825,AFF1,84.1,1210,['Nucleus'],25,48
P51965,UBE2E1,21.8,193,['Nucleus'],32,125
P52272,HNRNPM,63.0,730,"['Nucleus, nucleolus']",43,483
P52564,MAP2K6,10.5,334,"['Nucleus', 'Cytoplasm', 'Cytoplasm, cytoskeleton']",37,45
P52597,HNRNPF,34.0,415,"['Nucleus, nucleoplasm']",16,371
P52630,STAT2,22.2,851,"['Cytoplasm', 'Nucleus']",104,61
P52799,EFNB2,51.4,333,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, adherens junction']",53,119
P52926,HMGA2,100.0,109,['Nucleus'],6,57
P52945,PDX1,82.0,283,"['Nucleus', 'Cytoplasm, cytosol']",4,11
P52948,NUP98,53.7,1817,"['Nucleus membrane; Peripheral membrane protein; Nucleoplasmic side', 'Nucleus, nuclear pore complex', 'Nucleus, nucleoplasm', 'Nucleus membrane']",37,265
P53779,MAPK10,20.5,464,"['Cytoplasm', 'Membrane; Lipid-anchor', 'Nucleus', 'Mitochondrion']",44,44
P53999,SUB1,50.4,127,['Nucleus'],35,136
P54274,TERF1,43.7,439,"['Nucleus', 'Cytoplasm, cytoskeleton, spindle', 'Chromosome, telomere']",52,325
P55036,PSMD4,39.3,377,None,25,257
P55042,RRAD,42.2,308,['Cell membrane'],48,13
P55735,SEC13,5.9,322,"['Cytoplasmic vesicle, COPII-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side', 'Nucleus, nuclear pore complex', 'Lysosome membrane']",52,146
P55957,BID,20.5,195,"['Cytoplasm', 'Mitochondrion membrane', 'Mitochondrion outer membrane', '[BH3-interacting domain death agonist p15]: Mitochondrion membrane', '[BH3-interacting domain death agonist p13]: Mitochondrion membrane']",57,75
P56696,KCNQ4,46.2,695,['Basal cell membrane; Multi-pass membrane protein'],9,6
P58753,TIRAP,34.8,221,"['Cytoplasm', 'Cell membrane', 'Membrane']",16,47
P60006,ANAPC15,100.0,121,None,13,37
P60604,UBE2G2,0.0,165,"['Endoplasmic reticulum', 'Lipid droplet']",17,66
P60880,SNAP25,31.6,206,"['Cytoplasm, perinuclear region', 'Cell membrane; Lipid-anchor', 'Synapse, synaptosome', 'Photoreceptor inner segment']",73,73
P61073,CXCR4,17.6,352,"['Cell membrane; Multi-pass membrane protein', 'Cell junction', 'Early endosome', 'Late endosome', 'Lysosome']",206,235
P61925,PKIA,100.0,76,None,10,10
P62318,SNRPD3,34.9,126,"['Cytoplasm, cytosol', 'Nucleus']",8,242
P62805,H4C1,35.0,103,"['Nucleus', 'Chromosome']",76,1665
P62826,RAN,18.5,216,"['Nucleus', 'Nucleus envelope', 'Cytoplasm, cytosol', 'Cytoplasm', 'Melanosome']",111,250
P62877,RBX1,35.2,108,"['Cytoplasm', 'Nucleus']",131,456
P63165,SUMO1,28.7,101,"['Nucleus membrane', 'Nucleus speckle', 'Cytoplasm', 'Nucleus, PML body', 'Cell membrane', 'Nucleus']",168,1035
P63241,EIF5A,10.4,154,"['Cytoplasm', 'Nucleus', 'Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side']",88,148
P68363,TUBA1B,2.9,451,"['Cytoplasm, cytoskeleton']",48,315
P78330,PSPH,0.0,225,"['Cytoplasm, cytosol']",32,25
P78362,SRPK2,39.8,688,"['Cytoplasm', 'Nucleus, nucleoplasm', 'Nucleus speckle', 'Chromosome']",68,385
P78560,CRADD,0.0,199,"['Cytoplasm', 'Nucleus']",10,24
P80192,MAP3K9,64.3,1104,None,50,9
P80723,BASP1,100.0,227,"['Cell membrane; Lipid-anchor', 'Cell projection, growth cone']",19,195
P83731,RPL24,54.8,157,['Cytoplasm'],5,302
P84022,SMAD3,23.5,425,"['Cytoplasm', 'Nucleus']",164,355
P98170,XIAP,22.7,497,"['Cytoplasm', 'Nucleus']",164,189
P98177,FOXO4,84.2,505,"['Cytoplasm', 'Nucleus']",102,27
Q00169,PITPNA,0.0,270,"['Cytoplasm', 'Nucleus']",7,23
Q01081,U2AF1,24.6,240,"['Nucleus', 'Nucleus speckle']",26,190
Q01094,E2F1,64.3,437,['Nucleus'],166,145
Q01101,INSM1,77.8,510,['Nucleus'],16,9
Q01831,XPC,49.3,940,"['Nucleus', 'Chromosome', 'Cytoplasm']",22,121
Q01970,PLCB3,21.0,1234,"['Cytoplasm', 'Membrane', 'Nucleus']",42,60
Q02078,MEF2A,89.3,507,['Nucleus'],43,71
Q02413,DSG1,46.1,1049,"['Cell membrane; Single-pass type I membrane protein', 'Cell junction, desmosome', 'Cytoplasm', 'Nucleus']",25,131
Q02548,PAX5,71.6,391,['Nucleus'],59,57
Q03518,TAP1,14.0,748,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],68,112
Q03519,TAP2,0.0,686,['Endoplasmic reticulum membrane; Multi-pass membrane protein'],30,66
Q04637,EIF4G1,60.7,1599,"['Cytoplasm', 'Nucleus', 'Cytoplasm, Stress granule']",69,229
Q06609,RAD51,5.9,339,"['Nucleus', 'Cytoplasm', 'Cytoplasm, perinuclear region', 'Mitochondrion matrix', 'Chromosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",88,173
Q06710,PAX8,74.9,450,['Nucleus'],19,100
Q07666,KHDRBS1,64.6,443,"['Nucleus', 'Cytoplasm', 'Membrane']",91,259
Q07812,BAX,6.2,192,None,77,112
Q07866,KLC1,27.7,573,"['Cell projection, growth cone', 'Cytoplasmic vesicle', 'Cytoplasm, cytoskeleton']",50,115
Q07889,SOS1,24.0,1333,None,44,73
Q07912,TNK2,49.6,1038,"['Cell membrane', 'Nucleus', 'Endosome', 'Cell junction, adherens junction', 'Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic vesicle, clathrin-coated vesicle', 'Membrane, clathrin-coated pit', 'Cytoplasm, perinuclear region', 'Cytoplasm, cytosol']",104,98
Q07955,SRSF1,38.3,248,"['Cytoplasm', 'Nucleus speckle']",80,438
Q08050,FOXM1,82.4,763,['Nucleus'],134,93
Q0JRZ9,FCHO2,35.3,810,"['Membrane, clathrin-coated pit; Peripheral membrane protein; Cytoplasmic side']",2,63
Q12834,CDC20,36.7,499,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Chromosome, centromere, kinetochore', 'Cytoplasm, cytoskeleton, spindle pole']",117,187
Q12905,ILF2,18.7,390,"['Nucleus, nucleolus', 'Cytoplasm', 'Nucleus']",89,467
Q12972,PPP1R8,61.3,351,"['Nucleus', 'Nucleus speckle']",7,65
Q13029,PRDM2,80.0,1718,['Nucleus'],45,26
Q13042,CDC16,15.2,620,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle']",13,186
Q13148,TARDBP,43.0,414,"['Nucleus', 'Cytoplasm', 'Cytoplasm, Stress granule', 'Mitochondrion']",108,434
Q13188,STK3,28.1,491,"['Cytoplasm', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",63,186
Q13351,KLF1,75.4,362,['Nucleus'],27,33
Q13415,ORC1,38.4,861,['Nucleus'],19,81
Q13451,FKBP5,12.3,457,"['Cytoplasm', 'Nucleus']",109,177
Q13464,ROCK1,43.0,1354,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole', 'Golgi apparatus membrane; Peripheral membrane protein', 'Cell projection, bleb', 'Cytoplasm, cytoskeleton', 'Cell membrane', 'Cell projection, lamellipodium', 'Cell projection, ruffle']",179,107
Q13469,NFATC2,69.3,925,"['Cytoplasm', 'Nucleus']",90,190
Q13542,EIF4EBP2,65.8,120,"['Cytoplasm', 'Nucleus']",38,33
Q13547,HDAC1,18.3,482,['Nucleus'],157,696
Q13568,IRF5,38.2,498,"['Cytoplasm', 'Nucleus']",81,49
Q13625,TP53BP2,71.9,1128,"['Cytoplasm, perinuclear region', 'Nucleus']",124,210
Q13698,CACNA1S,25.1,1873,"['Cell membrane, sarcolemma, T-tubule; Multi-pass membrane protein']",6,11
Q13740,ALCAM,17.2,583,"['Cell membrane; Single-pass type I membrane protein', 'Cell projection, axon', 'Cell projection, dendrite']",76,60
Q14194,CRMP1,17.3,572,"['Cytoplasm', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Cytoplasm, cytoskeleton, spindle', 'Cell projection, growth cone', 'Cytoplasm, cytoskeleton', 'Perikaryon']",65,123
Q14493,SLBP,65.9,270,"['Cytoplasm', 'Nucleus']",17,55
Q14653,IRF3,17.6,427,"['Cytoplasm', 'Nucleus', 'Mitochondrion']",142,122
Q14978,NOLC1,87.8,699,"['Nucleus, nucleolus', 'Cytoplasm']",27,225
Q15004,PCLAF,100.0,111,"['Nucleus', 'Cytoplasm, perinuclear region']",124,813
Q15046,KARS1,15.7,597,None,36,201
Q15109,AGER,28.0,404,None,139,34
Q15113,PCOLCE,21.8,449,['Secreted'],4,12
Q15418,RPS6KA1,12.5,735,"['Nucleus', 'Cytoplasm']",84,275
Q15583,TGIF1,84.0,401,['Nucleus'],65,29
Q15596,NCOA2,79.4,1464,['Nucleus'],65,105
Q15637,SF1,67.6,639,['Nucleus'],31,315
Q15642,TRIP10,31.8,601,"['Cytoplasm, cytoskeleton', 'Cytoplasm, cell cortex', 'Lysosome', 'Golgi apparatus', 'Cell membrane', 'Cell projection, phagocytic cup']",75,91
Q15691,MAPRE1,35.1,268,"['Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Golgi apparatus', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, spindle pole']",80,283
Q15717,ELAVL1,23.0,326,"['Cytoplasm', 'Nucleus', 'Cytoplasm, Stress granule', 'Cytoplasm, P-body']",146,1828
Q15726,KISS1,100.0,138,['Secreted'],86,9
Q15796,SMAD2,33.2,467,"['Cytoplasm', 'Nucleus']",125,286
Q15797,SMAD1,24.5,465,"['Cytoplasm', 'Nucleus']",77,186
Q15843,NEDD8,16.0,81,['Nucleus'],102,780
Q15910,EZH2,29.6,746,['Nucleus'],158,705
Q16186,ADRM1,54.3,407,"['Cytoplasm', 'Nucleus']",56,115
Q16236,NFE2L2,72.1,605,"['Cytoplasm, cytosol', 'Nucleus']",192,131
Q16543,CDC37,20.6,378,['Cytoplasm'],69,490
Q16576,RBBP7,5.6,425,['Nucleus'],37,267
Q16611,BAK1,4.3,211,['Mitochondrion outer membrane; Single-pass membrane protein'],148,40
Q16647,PTGIS,3.0,500,['Endoplasmic reticulum membrane; Single-pass membrane protein'],26,4
Q16790,CA9,44.2,459,"['Nucleus', 'Nucleus, nucleolus', 'Cell membrane; Single-pass type I membrane protein', 'Cell projection, microvillus membrane; Single-pass type I membrane protein']",79,199
Q3MIT2,PUS10,9.3,529,"['Nucleus', 'Cytoplasm', 'Mitochondrion']",2,5
Q53GG5,PDLIM3,51.6,364,"['Cytoplasm, myofibril, sarcomere, Z line']",10,22
Q5SQI0,ATAT1,53.4,421,"['Cytoplasm', 'Membrane, clathrin-coated pit', 'Cell junction, focal adhesion', 'Cell projection, axon', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, spindle']",15,7
Q5T4W7,ARTN,56.4,220,['Secreted'],3,2
Q5VZK9,CARMIL1,35.7,1371,"['Cytoplasm', 'Cytoplasm, cytoskeleton', 'Cell membrane', 'Cell projection, lamellipodium']",5,0
Q68DK7,MSL1,89.4,614,"['Nucleus', 'Nucleus, nucleoplasm', 'Nucleus speckle']",6,48
Q6FI81,CIAPIN1,41.7,312,"['Cytoplasm', 'Nucleus', 'Mitochondrion intermembrane space']",41,59
Q6NUK1,SLC25A24,4.0,477,['Mitochondrion inner membrane; Multi-pass membrane protein'],3,115
Q6P3W2,DNAJC24,7.4,149,"['Cytoplasm, cytoskeleton']",6,4
Q6P5W5,SLC39A4,19.6,647,"['Cell membrane; Multi-pass membrane protein', 'Recycling endosome membrane; Multi-pass membrane protein', 'Apical cell membrane; Multi-pass membrane protein']",78,158
Q6PHW0,IYD,34.3,289,"['Cell membrane; Single-pass membrane protein', 'Cytoplasmic vesicle membrane']",0,9
Q6VMQ6,ATF7IP,88.3,1270,['Nucleus'],23,117
Q71UI9,H2AZ2,35.9,128,"['Nucleus', 'Chromosome']",1,93
Q7RTP6,MICAL3,56.1,2002,"['Cytoplasm', 'Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton', 'Nucleus', 'Midbody', 'Cytoplasm, cytoskeleton, spindle', 'Cytoplasm, cytoskeleton, cilium basal body']",24,55
Q86UE8,TLK2,39.1,772,"['Nucleus', 'Nucleus, nucleoplasm', 'Cytoplasm, perinuclear region', 'Cytoplasm, cytoskeleton']",22,62
Q86UX7,FERMT3,10.2,667,"['Cell projection, podosome']",74,49
Q86YV5,PRAG1,71.2,1406,"['Cytoplasm', 'Cell junction, focal adhesion', 'Nucleus']",42,0
Q8IU57,IFNLR1,59.6,520,['Membrane; Single-pass type I membrane protein'],27,33
Q8IUQ4,SIAH1,11.7,282,"['Cytoplasm', 'Nucleus']",101,186
Q8IV16,GPIHBP1,57.6,184,"['Apical cell membrane; Lipid-anchor, GPI-anchor', 'Basolateral cell membrane; Lipid-anchor, GPI-anchor', 'Cell membrane; Lipid-anchor, GPI-anchor']",0,126
Q8IVG9,MT-RNR2,100.0,24,"['Secreted', 'Cytoplasm', 'Cell projection, cilium, flagellum', 'Nucleus', 'Mitochondrion']",3,9
Q8IW19,APLF,72.2,511,"['Nucleus', 'Chromosome', 'Cytoplasm, cytosol']",17,33
Q8IYB3,SRRM1,87.3,904,"['Nucleus matrix', 'Nucleus speckle']",15,262
Q8IYW5,RNF168,72.0,571,['Nucleus'],66,75
Q8IZD2,KMT2E,85.5,1858,"['Chromosome', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Nucleus speckle']",22,46
Q8N1G2,CMTR1,13.1,835,['Nucleus'],9,183
Q8N4Q1,CHCHD4,54.2,142,['Mitochondrion intermembrane space'],13,136
Q8N5F7,NKAP,77.8,415,['Nucleus'],29,103
Q8N5Y2,MSL3,42.8,521,['Nucleus'],2,21
Q8NBP7,PCSK9,9.5,692,"['Cytoplasm', 'Secreted', 'Endosome', 'Lysosome', 'Cell surface', 'Endoplasmic reticulum', 'Golgi apparatus']",54,72
Q8NG31,KNL1,81.6,2342,"['Nucleus', 'Chromosome, centromere, kinetochore']",59,0
Q8NHZ8,CDC26,94.1,85,['Nucleus'],0,39
Q8NI22,MCFD2,26.0,146,"['Endoplasmic reticulum-Golgi intermediate compartment', 'Endoplasmic reticulum', 'Golgi apparatus']",23,68
Q8TEA8,DTD1,23.9,209,"['Nucleus', 'Cytoplasm']",21,20
Q8TEK3,DOT1L,68.1,1537,['Nucleus'],37,61
Q8TEP8,CEP192,57.8,2537,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole']",13,145
Q8WUG5,SLC22A17,12.6,649,"['Cell membrane; Multi-pass membrane protein', 'Vacuole membrane; Multi-pass membrane protein']",61,3
Q8WUM0,NUP133,10.5,1156,"['Nucleus, nuclear pore complex', 'Chromosome, centromere, kinetochore']",1,124
Q8WUP2,FBLIM1,45.8,373,"['Cell junction, focal adhesion', 'Cytoplasm, cytoskeleton, stress fiber']",46,39
Q8WV28,BLNK,73.0,456,"['Cytoplasm', 'Cell membrane']",27,41
Q8WXE9,STON2,49.4,905,"['Cytoplasm', 'Membrane', 'Synapse, synaptosome']",1,74
Q8WYP5,AHCTF1,54.8,2266,"['Cytoplasm', 'Nucleus', 'Nucleus envelope', 'Nucleus matrix', 'Chromosome, centromere, kinetochore', 'Nucleus, nucleoplasm', 'Nucleus, nuclear pore complex']",11,107
Q92540,SMG7,55.3,1137,"['Cytoplasm', 'Nucleus']",1,278
Q92558,WASF1,75.8,559,"['Cytoplasm, cytoskeleton', 'Synapse', 'Cell junction, focal adhesion']",50,65
Q92793,CREBBP,61.5,2442,"['Cytoplasm', 'Nucleus']",122,443
Q92804,TAF15,80.7,592,"['Nucleus', 'Cytoplasm']",16,268
Q92837,FRAT1,95.3,279,['Cytoplasm'],16,19
Q92900,UPF1,26.4,1129,"['Cytoplasm', 'Cytoplasm, P-body', 'Nucleus', 'Cytoplasm, perinuclear region']",74,396
Q92905,COPS5,12.3,334,"['Cytoplasm, cytosol', 'Nucleus', 'Cytoplasm, perinuclear region', 'Cytoplasmic vesicle, secretory vesicle, synaptic vesicle']",109,981
Q92913,FGF13,40.4,245,"['Cell projection, filopodium', 'Cell projection, growth cone', 'Cell projection, dendrite', 'Cell membrane, sarcolemma', 'Cytoplasm']",3,110
Q92945,KHSRP,57.8,711,"['Nucleus', 'Cytoplasm']",63,195
Q92973,TNPO1,3.0,898,"['Cytoplasm', 'Nucleus']",40,159
Q93009,USP7,6.7,1102,"['Nucleus', 'Cytoplasm', 'Nucleus, PML body', 'Chromosome']",112,470
Q969R2,OSBP2,33.2,916,['Membrane; Peripheral membrane protein'],19,16
Q96AC1,FERMT2,13.4,680,"['Cytoplasm', 'Cytoplasm, cell cortex', 'Cytoplasm, cytoskeleton', 'Cytoplasm, cytoskeleton, stress fiber', 'Cell junction, focal adhesion', 'Membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell projection, lamellipodium membrane; Peripheral membrane protein; Cytoplasmic side', 'Nucleus', 'Cytoplasm, myofibril, sarcomere, I band', 'Cell surface']",121,147
Q96AY2,EME1,47.4,570,"['Nucleus, nucleolus']",6,42
Q96B02,UBE2W,6.6,151,['Nucleus'],28,87
Q96DE5,ANAPC16,78.2,110,"['Cytoplasm', 'Nucleus', 'Chromosome, centromere, kinetochore']",13,55
Q96F86,EDC3,38.4,508,"['Cytoplasm, P-body']",4,125
Q96FI4,NEIL1,25.4,390,"['Cytoplasm, cytoskeleton, microtubule organizing center, centrosome', 'Nucleus', 'Chromosome']",28,267
Q96G97,BSCL2,42.5,398,"['Endoplasmic reticulum membrane; Multi-pass membrane protein', 'Lipid droplet']",13,171
Q96GC6,ZNF274,55.0,653,"['Cytoplasm', 'Nucleus, nucleolus']",7,15
Q96GD4,AURKB,21.2,344,"['Nucleus', 'Chromosome', 'Chromosome, centromere', 'Chromosome, centromere, kinetochore', 'Cytoplasm, cytoskeleton, spindle', 'Midbody']",156,601
Q96GU1,PAGE5,100.0,130,None,2,12
Q96IZ0,PAWR,84.4,340,"['Cytoplasm', 'Nucleus']",121,77
Q96N21,TEPSIN,52.8,525,"['Golgi apparatus, trans-Golgi network membrane; Peripheral membrane protein', 'Cytoplasmic vesicle', 'Cytoplasm, cytosol']",10,134
Q96NW4,ANKRD27,25.0,1050,"['Early endosome', 'Late endosome', 'Cytoplasmic vesicle membrane', 'Lysosome', 'Cell membrane', 'Melanosome']",43,29
Q96PM5,RCHY1,7.3,261,"['Nucleus', 'Nucleus speckle', 'Cytoplasm']",31,309
Q96PU5,NEDD4L,34.1,975,"['Cytoplasm', 'Golgi apparatus', 'Endosome, multivesicular body']",125,170
Q96PY5,FMNL2,33.4,1086,['Cytoplasm'],30,57
Q96RF0,SNX18,33.8,628,"['Endomembrane system; Peripheral membrane protein; Cytoplasmic side', 'Endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Recycling endosome membrane; Peripheral membrane protein; Cytoplasmic side', 'Cell membrane; Peripheral membrane protein; Cytoplasmic side', 'Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side']",44,73
Q96RI1,NR1H4,36.4,486,['Nucleus'],94,25
Q96RS0,TGS1,56.4,853,"['Cytoplasm', 'Nucleus, Cajal body', 'Nucleus, nucleolus']",7,63
Q96SD1,DCLRE1C,47.7,692,['Nucleus'],28,38
Q96T88,UHRF1,17.3,793,['Nucleus'],85,132
Q99075,HBEGF,51.0,208,"['[Heparin-binding EGF-like growth factor]: Secreted, extracellular space', '[Proheparin-binding EGF-like growth factor]: Cell membrane; Single-pass type I membrane protein']",60,18
Q99523,SORT1,21.4,831,"['Golgi apparatus, Golgi stack membrane; Single-pass type I membrane protein', 'Endosome membrane; Single-pass type I membrane protein', 'Endoplasmic reticulum membrane; Single- pass type I membrane protein', 'Nucleus membrane; Single-pass type I membrane protein', 'Cell membrane; Single-pass type I membrane protein; Extracellular side', 'Lysosome membrane; Single-pass type I membrane protein']",87,187
Q99958,FOXC2,80.6,501,['Nucleus'],91,42
Q9BQ15,NABP2,54.5,211,['Nucleus'],4,59
Q9BQB4,SOST,65.3,213,"['Secreted, extracellular space, extracellular matrix']",42,33
Q9BS26,ERP44,9.4,406,['Endoplasmic reticulum lumen'],19,143
Q9BSY4,CHCHD5,14.5,110,['Mitochondrion intermembrane space'],3,10
Q9BTL3,RAMAC,100.0,118,['Nucleus'],0,0
Q9BTT0,ANP32E,42.5,268,"['Cytoplasm', 'Nucleus']",33,102
Q9BUH6,PAXX,33.3,204,"['Nucleus', 'Chromosome', 'Cytoplasm']",2,0
Q9BUL9,RPP25,38.7,199,"['Nucleus, nucleolus']",18,50
Q9BUQ8,DDX23,37.0,820,"['Nucleus', 'Chromosome']",23,364
Q9BVI0,PHF20,67.6,1012,['Nucleus'],29,39
Q9H1D0,TRPV6,18.8,765,['Cell membrane; Multi-pass membrane protein'],2,15
Q9H211,CDT1,43.2,546,"['Nucleus', 'Chromosome, centromere, kinetochore']",35,70
Q9H2Y7,ZNF106,76.7,1883,"['Nucleus, nucleolus', 'Nucleus speckle']",1,0
Q9H816,DCLRE1B,36.1,532,"['Chromosome, telomere', 'Nucleus', 'Cytoplasm, cytoskeleton, microtubule organizing center, centrosome']",14,29
